time,value
0,81
0.0125,83
0.025,80
0.0375,83
0.05,84
0.0625,80
0.075,81
0.0875,76
0.1,78
0.1125,87
0.125,88
0.1375,86
0.15,83
0.1625,76
0.175,77
0.1875,81
0.2,80
0.2125,77
0.225,81
0.2375,81
0.25,93
0.2625,75
0.275,77
0.2875,83
0.3,89
0.3125,83
0.325,81
0.3375,80
0.35,91
0.3625,85
0.375,91
0.3875,82
0.4,80
0.4125,80
0.425,80
0.4375,84
0.45,78
0.4625,81
0.475,82
0.4875,89
0.5,80
0.5125,83
0.525,85
0.5375,83
0.55,78
0.5625,82
0.575,82
0.5875,79
0.6,79
0.6125,89
0.625,83
0.6375,80
0.65,87
0.6625,95
0.675,75
0.6875,86
0.7,84
0.7125,82
0.725,99
0.7375,87
0.75,91
0.7625,92
0.775,81
0.7875,75
0.8,75
0.8125,86
0.825,88
0.8375,83
0.85,82
0.8625,82
0.875,84
0.8875,79
0.9,85
0.9125,82
