time,value
0,2.049999
0.0125,2.074999
0.025,1.999999
0.0375,2.074999
0.05,2.099999
0.0625,1.999999
0.075,2.024999
0.0875,1.899999
0.1,1.949999
0.1125,2.174999
0.125,2.199999
0.1375,2.149999
0.15,2.074999
0.1625,1.899999
0.175,1.924999
0.1875,2.024999
0.2,1.999999
0.2125,1.924999
0.225,2.024999
0.2375,2.024999
0.25,2.325
0.2625,1.874999
0.275,1.924999
0.2875,2.074999
0.3,2.224999
0.3125,2.074999
0.325,2.024999
0.3375,1.999999
0.35,2.275
0.3625,2.124999
0.375,2.275
0.3875,2.049999
0.4,1.999999
0.4125,1.999999
0.425,1.999999
0.4375,2.099999
0.45,1.949999
0.4625,2.024999
0.475,2.049999
0.4875,2.224999
0.5,1.999999
0.5125,2.074999
0.525,2.124999
0.5375,2.074999
0.55,1.949999
0.5625,2.049999
0.575,2.049999
0.5875,1.974999
0.6,1.974999
0.6125,2.224999
0.625,2.074999
0.6375,1.999999
0.65,2.174999
0.6625,2.375
0.675,1.874999
0.6875,2.149999
0.7,2.099999
0.7125,2.049999
0.725,2.475
0.7375,2.174999
0.75,2.275
0.7625,2.3
0.775,2.024999
0.7875,1.874999
0.8,1.874999
0.8125,2.149999
0.825,2.199999
0.8375,2.074999
0.85,2.049999
0.8625,2.049999
0.875,2.099999
0.8875,1.974999
0.9,2.124999
0.9125,2.049999
