time,value
0,1.568439
0.0001953125,0.8956835
0.000390625,1.196895
0.0005859375,0.5618469
0.00078125,0.4872706
0.0009765625,0.7279425
0.001171875,0.9027819
0.001367187,0.7777021
0.0015625,0.799652
0.001757813,0.4596868
0.001953125,0.4259042
0.002148438,0.7679588
0.00234375,0.3375281
0.002539063,0.5129062
0.002734375,0.3793204
0.002929688,0.6490139
0.003125,0.5828871
0.003320313,0.6183475
0.003515625,0.6762088
0.003710937,0.3688548
0.00390625,0.2239181
0.004101563,0.2478323
0.004296875,0.4843973
0.004492187,0.4721781
0.0046875,0.2913599
0.004882813,0.4313462
0.005078125,0.1688977
0.005273438,0.2033707
0.00546875,0.1629511
0.005664063,0.3463118
0.005859375,0.1911763
0.006054688,0.1694406
0.00625,0.2833544
0.006445312,0.3192852
0.006640625,0.1128823
0.006835938,0.2267139
0.00703125,0.2428496
0.007226563,0.1061761
0.007421875,0.3969421
0.007617188,0.1204624
0.0078125,0.2198119
0.008007812,0.09992069
0.008203126,0.1093389
0.008398438,0.1120373
0.00859375,0.4973774
0.008789063,0.149124
0.008984375,0.09426083
0.009179688,0.1261817
0.009375,0.1533242
0.009570313,0.1119
0.009765625,0.1089281
0.009960937,0.4548187
0.01015625,0.1331159
0.01035156,0.107725
0.01054688,0.0897519
0.01074219,0.09618221
0.0109375,0.1047632
0.01113281,0.2649021
0.01132813,0.08084936
0.01152344,0.08645379
0.01171875,0.1219957
0.01191406,0.1207179
0.01210938,0.09596499
0.01230469,0.2805071
0.0125,0.1153716
0.01269531,0.09156257
0.01289062,0.07283521
0.01308594,0.07002046
0.01328125,0.09287088
0.01347656,0.2227853
0.01367188,0.1605743
0.01386719,0.08771241
0.0140625,0.1057417
0.01425781,0.1680974
0.01445313,0.2642452
0.01464844,0.07779221
0.01484375,0.05529868
0.01503906,0.2500752
0.01523438,0.2260477
0.01542969,0.09071173
0.015625,0.2739712
0.01582031,0.5734451
0.01601562,0.2709406
0.01621094,0.1936552
0.01640625,0.2297948
0.01660156,0.08710799
0.01679688,0.1053403
0.01699219,0.08448351
0.0171875,0.0785416
0.01738281,0.2227031
0.01757813,0.08612537
0.01777344,0.1442543
0.01796875,0.2076916
0.01816406,0.05460532
0.01835938,0.1491223
0.01855469,0.09705319
0.01875,0.07805531
0.01894531,0.0917507
0.01914063,0.3352965
0.01933594,0.2635573
0.01953125,0.361829
0.01972656,0.2059827
0.01992187,0.2357186
0.02011719,0.1808634
0.0203125,0.07336643
0.02050781,0.07091966
0.02070313,0.05215118
0.02089844,0.1573737
0.02109375,0.09338774
0.02128906,0.2338983
0.02148438,0.2026233
0.02167969,0.04021286
0.021875,0.2843731
0.02207031,0.2201968
0.02226563,0.06479722
0.02246094,0.1815274
0.02265625,0.0666148
0.02285156,0.04617143
0.02304688,0.1366516
0.02324219,0.06757787
0.0234375,0.05569597
0.02363281,0.1480737
0.02382812,0.06904005
0.02402344,0.04721682
0.02421875,0.07147448
0.02441406,0.05439533
0.02460938,0.05645137
0.02480469,0.0996545
0.025,0.06255345
0.02519531,0.0700269
0.02539063,0.06871709
0.02558594,0.06429474
0.02578125,0.138388
0.02597656,0.05278652
0.02617188,0.06457054
0.02636719,0.1512226
0.0265625,0.04848367
0.02675781,0.0524951
0.02695313,0.1916982
0.02714844,0.04795596
0.02734375,0.2412454
0.02753906,0.04368215
0.02773437,0.1843831
0.02792969,0.165294
0.028125,0.2067777
0.02832031,0.1522519
0.02851563,0.0853315
0.02871094,0.3530342
0.02890625,0.0424879
0.02910156,0.1253009
0.02929688,0.08573914
0.02949219,0.0321135
0.0296875,0.04292232
0.02988281,0.06998253
0.03007813,0.03578843
0.03027344,0.1719636
0.03046875,0.1287118
0.03066406,0.2455648
0.03085938,0.03708768
0.03105469,0.1826696
0.03125,0.03635386
0.03144531,0.1461158
0.03164063,0.04407697
0.03183594,0.04991052
0.03203125,0.1410486
0.03222656,0.1466266
0.03242188,0.149579
0.03261719,0.1097251
0.0328125,0.03339896
0.03300781,0.04937471
0.03320313,0.09645903
0.03339844,0.04020497
0.03359375,0.1365059
0.03378906,0.05263561
0.03398437,0.03641838
0.03417969,0.03935828
0.034375,0.03969279
0.03457031,0.04134319
0.03476563,0.05624039
0.03496094,0.04892259
0.03515625,0.03103039
0.03535156,0.1631616
0.03554688,0.1398707
0.03574219,0.03098914
0.0359375,0.0374461
0.03613281,0.03745162
0.03632813,0.1046215
0.03652344,0.04593819
0.03671875,0.1434241
0.03691406,0.05057546
0.03710938,0.03772362
0.03730469,0.03415207
0.0375,0.1392176
0.03769531,0.03041023
0.03789062,0.03356406
0.03808594,0.04492838
0.03828125,0.08806588
0.03847656,0.05045202
0.03867188,0.02325268
0.03886719,0.03098259
0.0390625,0.0262431
0.03925781,0.0344986
0.03945313,0.1561002
0.03964844,0.04487576
0.03984375,0.03345368
0.04003906,0.02585134
0.04023438,0.02917941
0.04042969,0.0288073
0.040625,0.0246992
0.04082031,0.02585653
0.04101563,0.03338058
0.04121094,0.0221975
0.04140625,0.02657025
0.04160156,0.02975495
0.04179687,0.09244438
0.04199219,0.03357884
0.0421875,0.2388819
0.04238281,0.02632427
0.04257813,0.1709806
0.04277344,0.03456688
0.04296875,0.02328761
0.04316406,0.02900695
0.04335938,0.02536316
0.04355469,0.03737289
0.04375,0.02720093
0.04394531,0.1538075
0.04414063,0.03379115
0.04433594,0.02297463
0.04453125,0.02647679
0.04472656,0.1511686
0.04492188,0.110015
0.04511719,0.1420172
0.0453125,0.03296629
0.04550781,0.1458034
0.04570312,0.1046634
0.04589844,0.027306
0.04609375,0.01555557
0.04628906,0.03201192
0.04648438,0.1107126
0.04667969,0.01911698
0.046875,0.1192925
0.04707031,0.103577
0.04726563,0.1796739
0.04746094,0.09556801
0.04765625,0.03581829
0.04785156,0.1106508
0.04804688,0.02602991
0.04824219,0.03694524
0.0484375,0.02864985
0.04863281,0.04252922
0.04882813,0.02490538
0.04902344,0.03458327
0.04921875,0.1378754
0.04941406,0.03288068
0.04960937,0.1018123
0.04980469,0.02330274
0.05,0.1159363
0.05019531,0.03558758
0.05039063,0.03593693
0.05058594,0.02522861
0.05078125,0.02487972
0.05097656,0.02619035
0.05117188,0.04162695
0.05136719,0.03265297
0.0515625,0.1846561
0.05175781,0.02487786
0.05195313,0.02327412
0.05214844,0.0249463
0.05234375,0.02761919
0.05253906,0.01930524
0.05273438,0.02188887
0.05292969,0.1165907
0.053125,0.02241896
0.05332031,0.02301336
0.05351562,0.02770163
0.05371094,0.03223845
0.05390625,0.02045703
0.05410156,0.01756504
0.05429688,0.01587275
0.05449219,0.01995779
0.0546875,0.01537102
0.05488281,0.0172657
0.05507813,0.02572977
0.05527344,0.01993438
0.05546875,0.2001863
0.05566406,0.01813699
0.05585938,0.02466435
0.05605469,0.09510608
0.05625,0.02711508
0.05644531,0.01780213
0.05664063,0.02060858
0.05683594,0.01920044
0.05703125,0.1404372
0.05722656,0.01288621
0.05742187,0.03262573
0.05761719,0.1344412
0.0578125,0.06361043
0.05800781,0.02456141
0.05820313,0.02183464
0.05839844,0.1146766
0.05859375,0.0716726
0.05878906,0.03047801
0.05898438,0.1298331
0.05917969,0.01834451
0.059375,0.1104553
0.05957031,0.024926
0.05976563,0.06227326
0.05996094,0.03066421
0.06015625,0.03013484
0.06035156,0.01807407
0.06054688,0.0116623
0.06074219,0.01762678
0.0609375,0.01966609
0.06113281,0.01356445
0.06132812,0.01301696
0.06152344,0.01087171
0.06171875,0.06003078
0.06191406,0.1440133
0.06210938,0.01775495
0.06230469,0.07283322
0.0625,0.01519772
0.06269532,0.01653029
0.06289063,0.02102876
0.06308594,0.02260493
0.06328125,0.01886758
0.06347656,0.1482927
0.06367188,0.07214363
0.06386719,0.02657489
0.0640625,0.01632134
0.06425782,0.02508801
0.06445313,0.124347
0.06464844,0.02303673
0.06484375,0.1043734
0.06503906,0.03619219
0.06523438,0.1065031
0.06542969,0.01756542
0.065625,0.01598744
0.06582031,0.1093395
0.06601562,0.02853769
0.06621094,0.02430298
0.06640625,0.01818229
0.06660157,0.0184378
0.06679688,0.02059228
0.06699219,0.1110383
0.0671875,0.05601675
0.06738281,0.05747515
0.06757813,0.02230006
0.06777344,0.06077649
0.06796875,0.1441523
0.06816407,0.01216109
0.06835938,0.0241691
0.06855469,0.0184001
0.06875,0.01939242
0.06894531,0.02002697
0.06914063,0.06306539
0.06933594,0.01427467
0.06953125,0.1483483
0.06972656,0.0178227
0.06992187,0.01777755
0.07011719,0.1225872
0.0703125,0.01637087
0.07050782,0.01667328
0.07070313,0.01846959
0.07089844,0.03247387
0.07109375,0.06719844
0.07128906,0.110228
0.07148438,0.1657666
0.07167969,0.02062004
0.071875,0.02346419
0.07207032,0.01537386
0.07226563,0.01761461
0.07246094,0.01548094
0.07265625,0.02369984
0.07285156,0.01536304
0.07304688,0.02525392
0.07324219,0.02242894
0.0734375,0.1069394
0.07363281,0.06224107
0.07382812,0.1001309
0.07402344,0.02374144
0.07421875,0.0178452
0.07441407,0.01758722
0.07460938,0.02290073
0.07480469,0.01848502
0.075,0.01827785
0.07519531,0.2234187
0.07539063,0.02915703
0.07558594,0.01882689
0.07578125,0.01709861
0.07597657,0.01402087
0.07617188,0.01786864
0.07636719,0.01188898
0.0765625,0.01417951
0.07675781,0.01575031
0.07695313,0.01234969
0.07714844,0.01624808
0.07734375,0.01115684
0.07753906,0.01298134
0.07773437,0.01245574
0.07792969,0.01844472
0.078125,0.01346819
0.07832032,0.01358758
0.07851563,0.01214604
0.07871094,0.1003075
0.07890625,0.0110119
0.07910156,0.01952022
0.07929688,0.01551672
0.07949219,0.1347462
0.0796875,0.01248394
0.07988282,0.01482851
0.08007813,0.05070503
0.08027344,0.01702737
0.08046875,0.01711107
0.08066406,0.008860493
0.08085938,0.0132501
0.08105469,0.0614718
0.08125,0.01567939
0.08144531,0.05598869
0.08164062,0.01335209
0.08183594,0.01996999
0.08203125,0.1076588
0.08222657,0.01278204
0.08242188,0.0117818
0.08261719,0.01446336
0.0828125,0.09122047
0.08300781,0.09884383
0.08320313,0.02222237
0.08339844,0.07129665
0.08359375,0.01663215
0.08378907,0.07570037
0.08398438,0.08080894
0.08417969,0.01061812
0.084375,0.01341254
0.08457031,0.02071385
0.08476563,0.07622288
0.08496094,0.01159387
0.08515625,0.01592939
0.08535156,0.01009147
0.08554687,0.01560712
0.08574219,0.02275811
0.0859375,0.1355424
0.08613282,0.01007416
0.08632813,0.01695653
0.08652344,0.09437889
0.08671875,0.01575862
0.08691406,0.01446176
0.08710938,0.08883777
0.08730469,0.01287841
0.0875,0.06525881
0.08769532,0.01356411
0.08789063,0.06963681
0.08808594,0.01346015
0.08828125,0.02911277
0.08847656,0.01513788
0.08867188,0.01412242
0.08886719,0.0175511
0.0890625,0.01279976
0.08925781,0.01270426
0.08945312,0.01531281
0.08964844,0.01176087
0.08984375,0.0146539
0.09003907,0.1305996
0.09023438,0.01058059
0.09042969,0.01249984
0.090625,0.04237866
0.09082031,0.01306486
0.09101563,0.06311943
0.09121094,0.009957818
0.09140625,0.009368886
0.09160157,0.01669761
0.09179688,0.03626816
0.09199219,0.01759219
0.0921875,0.01085305
