time,value
0,-1.152578
0.0001953125,-1.556656
0.000390625,-1.433643
0.0005859375,-1.285584
0.00078125,-1.186331
0.0009765625,-1.304689
0.001171875,-1.233407
0.001367187,-1.352679
0.0015625,-1.079652
0.001757813,-1.192198
0.001953125,-1.327849
0.002148438,-1.182783
0.00234375,-1.254541
0.002539063,-1.314152
0.002734375,-0.7122107
0.002929688,-0.8677163
0.003125,-0.8888351
0.003320313,-1.099341
0.003515625,-0.8248593
0.003710937,-0.8368448
0.00390625,-0.7411268
0.004101563,-0.713374
0.004296875,-0.7207445
0.004492187,-0.8846399
0.0046875,-0.5374891
0.004882813,-0.6594075
0.005078125,-0.8348569
0.005273438,-0.6528141
0.00546875,-0.6571892
0.005664063,-0.6321244
0.005859375,-0.5834318
0.006054688,-0.7639824
0.00625,-0.6450636
0.006445312,-0.6185009
0.006640625,-0.4545687
0.006835938,-0.628108
0.00703125,-0.6365047
0.007226563,-0.528332
0.007421875,-0.6395494
0.007617188,-0.721113
0.0078125,-0.618987
0.008007812,-0.5797436
0.008203126,-0.7708032
0.008398438,-0.6428846
0.00859375,-0.6364256
0.008789063,-0.5595217
0.008984375,-0.6303024
0.009179688,-0.6693892
0.009375,-0.7391803
0.009570313,-0.5466468
0.009765625,-0.6647272
0.009960937,-0.7373073
0.01015625,-0.8082551
0.01035156,-0.5558097
0.01054688,-0.6381894
0.01074219,-0.5302839
0.0109375,-0.5429866
0.01113281,-0.5748073
0.01132813,-0.5780803
0.01152344,-0.7873816
0.01171875,-0.619403
0.01191406,-0.6189324
0.01210938,-0.6596474
0.01230469,-0.5955763
0.0125,-0.6124907
0.01269531,-0.5217637
0.01289062,-0.5035645
0.01308594,-0.6484787
0.01328125,-0.6521645
0.01347656,-0.5161942
0.01367188,-0.5222137
0.01386719,-0.6000422
0.0140625,-0.6666881
0.01425781,-0.5374555
0.01445313,-0.6050543
0.01464844,-0.5628244
0.01484375,-0.4933372
0.01503906,-0.6148918
0.01523438,-0.5042467
0.01542969,-0.6951855
0.015625,-0.5260027
0.01582031,-0.6277258
0.01601562,-0.6883555
0.01621094,-0.5504527
0.01640625,-0.5885018
0.01660156,-0.4621785
0.01679688,-0.6837278
0.01699219,-0.7045786
0.0171875,-0.692769
0.01738281,-0.5489844
0.01757813,-0.5249054
0.01777344,-0.5242312
0.01796875,-0.6299708
0.01816406,-0.6572066
0.01835938,-0.4664578
0.01855469,-0.5785469
0.01875,-0.4736742
0.01894531,-0.6142204
0.01914063,-0.4497836
0.01933594,-0.5749762
0.01953125,-0.509088
0.01972656,-0.4764809
0.01992187,-0.5234542
0.02011719,-0.5560368
0.0203125,-0.7033604
0.02050781,-0.5121316
0.02070313,-0.3843916
0.02089844,-0.494805
0.02109375,-0.7774463
0.02128906,-0.562523
0.02148438,-0.4602129
0.02167969,-0.5550914
0.021875,-0.5617129
0.02207031,-0.5690584
0.02226563,-0.5752699
0.02246094,-0.513512
0.02265625,-0.509382
0.02285156,-0.6393197
0.02304688,-0.55952
0.02324219,-0.7102066
0.0234375,-0.527221
0.02363281,-0.5936225
0.02382812,-0.4019503
0.02402344,-0.5003049
0.02421875,-0.52925
0.02441406,-0.4536076
0.02460938,-0.4227811
0.02480469,-0.567489
0.025,-0.636921
0.02519531,-0.6396611
0.02539063,-0.5704688
0.02558594,-0.6161413
0.02578125,-0.4993854
0.02597656,-0.6280866
0.02617188,-0.6750352
0.02636719,-0.4014883
0.0265625,-0.4657705
0.02675781,-0.5732208
0.02695313,-0.4588208
0.02714844,-0.6011206
0.02734375,-0.4256992
0.02753906,-0.5185958
0.02773437,-0.5928168
0.02792969,-0.4273835
