time,value
0,0.7434795
0.0001953125,1.366601
0.000390625,0.7823442
0.0005859375,0.4701386
0.00078125,0.4665735
0.0009765625,0.8255657
0.001171875,0.3233159
0.001367187,0.6819082
0.0015625,0.2602282
0.001757813,0.2887085
0.001953125,0.8328898
0.002148438,0.3102435
0.00234375,0.3811366
0.002539063,0.8275962
0.002734375,0.1966511
0.002929688,0.1955434
0.003125,0.2047842
0.003320313,0.5331813
0.003515625,0.1500249
0.003710937,0.2327887
0.00390625,0.1942921
0.004101563,0.3339635
0.004296875,0.302917
0.004492187,0.7511944
0.0046875,0.146413
0.004882813,0.1940331
0.005078125,0.5746691
0.005273438,0.3616467
0.00546875,0.5379473
0.005664063,0.2795148
0.005859375,0.1205011
0.006054688,0.2957251
0.00625,0.4437934
0.006445312,0.1705837
0.006640625,0.08498864
0.006835938,0.3115819
0.00703125,0.1434599
0.007226563,0.1532587
0.007421875,0.2658231
0.007617188,0.4648623
0.0078125,0.1352985
0.008007812,0.08640601
0.008203126,0.2290785
0.008398438,0.1215898
0.00859375,0.1023038
0.008789063,0.09007064
0.008984375,0.1115541
0.009179688,0.08496602
0.009375,0.2577678
0.009570313,0.1847745
0.009765625,0.09232101
0.009960937,0.1032313
0.01015625,0.6435101
0.01035156,0.09242183
0.01054688,0.1314186
0.01074219,0.05638956
0.0109375,0.08460355
0.01113281,0.07723992
0.01132813,0.08094108
0.01152344,0.1063958
0.01171875,0.09905042
0.01191406,0.04632005
0.01210938,0.1889387
0.01230469,0.5263581
0.0125,0.08700335
0.01269531,0.06563959
0.01289062,0.08159523
0.01308594,0.2230142
0.01328125,0.1203069
0.01347656,0.06569251
0.01367188,0.1843286
0.01386719,0.06189214
0.0140625,0.1247191
0.01425781,0.09979382
0.01445313,0.1045929
0.01464844,0.05785771
0.01484375,0.09243143
0.01503906,0.1885345
0.01523438,0.08081374
0.01542969,0.2144344
0.015625,0.06465807
0.01582031,0.1940148
0.01601562,0.09108008
0.01621094,0.07357805
0.01640625,0.07790056
0.01660156,0.05076635
0.01679688,0.06905355
0.01699219,0.4057734
0.0171875,0.07976972
0.01738281,0.05612341
0.01757813,0.05706694
0.01777344,0.05958007
0.01796875,0.05182479
0.01816406,0.08819065
0.01835938,0.05280787
0.01855469,0.06811945
0.01875,0.06569263
0.01894531,0.05730355
0.01914063,0.0427344
0.01933594,0.0644719
0.01953125,0.1612543
0.01972656,0.06475653
0.01992187,0.06274457
0.02011719,0.06647477
0.0203125,0.09579638
0.02050781,0.2621511
0.02070313,0.04944659
0.02089844,0.06717887
0.02109375,0.3946061
0.02128906,0.1577898
0.02148438,0.1395669
0.02167969,0.05785391
0.021875,0.08297059
0.02207031,0.3712354
0.02226563,0.06269348
0.02246094,0.07744414
0.02265625,0.04637603
0.02285156,0.06641194
0.02304688,0.04634675
0.02324219,0.534786
0.0234375,0.05902006
0.02363281,0.05830424
0.02382812,0.0537139
0.02402344,0.1381833
0.02421875,0.05526802
0.02441406,0.2544648
0.02460938,0.05389749
0.02480469,0.07755806
0.025,0.06895566
0.02519531,0.3245465
0.02539063,0.0711138
0.02558594,0.06222733
0.02578125,0.05629464
0.02597656,0.4244595
0.02617188,0.05060733
0.02636719,0.2387084
0.0265625,0.05419503
0.02675781,0.3155304
0.02695313,0.04911666
0.02714844,0.2532716
0.02734375,0.1078861
0.02753906,0.07427922
0.02773437,0.08079908
0.02792969,0.2169499
0.028125,0.1196083
0.02832031,0.05135031
0.02851563,0.09519544
0.02871094,0.2905802
0.02890625,0.130414
0.02910156,0.04985002
0.02929688,0.04232852
0.02949219,0.05292509
0.0296875,0.1617405
0.02988281,0.2074536
0.03007813,0.06406932
0.03027344,0.11507
0.03046875,0.06304915
0.03066406,0.05302026
0.03085938,0.05863737
0.03105469,0.04275163
0.03125,0.6043169
0.03144531,0.03367446
0.03164063,0.06652456
0.03183594,0.09812331
0.03203125,0.2635775
0.03222656,0.03697933
0.03242188,0.2151176
0.03261719,0.06216739
0.0328125,0.06133898
0.03300781,0.1869595
0.03320313,0.04948318
0.03339844,0.03679759
0.03359375,0.05558139
0.03378906,0.0532575
0.03398437,0.03620276
0.03417969,0.03286064
0.034375,0.1096156
0.03457031,0.04955543
0.03476563,0.04053325
0.03496094,0.4277004
0.03515625,0.03372915
0.03535156,0.04573807
0.03554688,0.05290895
0.03574219,0.03525541
0.0359375,0.2668975
0.03613281,0.03996917
0.03632813,0.03115421
0.03652344,0.03535034
0.03671875,0.04222648
0.03691406,0.03933764
0.03710938,0.3410999
0.03730469,0.09587277
0.0375,0.2270794
0.03769531,0.02833715
0.03789062,0.04575608
0.03808594,0.1068643
0.03828125,0.05507676
0.03847656,0.09976947
0.03867188,0.3096201
0.03886719,0.04651099
0.0390625,0.04816055
0.03925781,0.2694088
0.03945313,0.06453088
0.03964844,0.03395235
0.03984375,0.1323391
0.04003906,0.05281865
0.04023438,0.3066819
0.04042969,0.03620829
0.040625,0.03548165
0.04082031,0.03607039
0.04101563,0.0428076
0.04121094,0.04042128
0.04140625,0.03875091
0.04160156,0.1014004
0.04179687,0.02524239
0.04199219,0.08787158
0.0421875,0.2670769
0.04238281,0.04066367
0.04257813,0.04533396
0.04277344,0.2502602
0.04296875,0.03241495
0.04316406,0.03607565
0.04335938,0.03934532
0.04355469,0.03243878
0.04375,0.03473029
0.04394531,0.03388479
0.04414063,0.2555836
0.04433594,0.04008404
0.04453125,0.03271863
0.04472656,0.02720209
0.04492188,0.03215766
0.04511719,0.1024369
0.0453125,0.03326488
0.04550781,0.07385189
0.04570312,0.02960499
0.04589844,0.02394722
0.04609375,0.02588615
0.04628906,0.1208415
0.04648438,0.1792351
0.04667969,0.3209001
0.046875,0.04167485
0.04707031,0.08336243
0.04726563,0.05656438
0.04746094,0.410213
0.04765625,0.08670176
0.04785156,0.1362337
0.04804688,0.0332963
0.04824219,0.02593915
0.0484375,0.03121034
0.04863281,0.04101604
0.04882813,0.3761654
0.04902344,0.02543059
0.04921875,0.05333694
0.04941406,0.06767628
0.04960937,0.03340408
0.04980469,0.1784684
0.05,0.06420761
0.05019531,0.05556495
0.05039063,0.03378678
0.05058594,0.05037943
0.05078125,0.2717345
0.05097656,0.02351655
0.05117188,0.1128962
0.05136719,0.2100468
0.0515625,0.02105724
0.05175781,0.06744182
0.05195313,0.07460914
0.05214844,0.03224604
0.05234375,0.04413676
0.05253906,0.01782394
0.05273438,0.0188381
0.05292969,0.01805324
0.053125,0.07649812
0.05332031,0.07550777
0.05351562,0.192911
0.05371094,0.09485927
0.05390625,0.07612968
0.05410156,0.04007329
0.05429688,0.05601171
0.05449219,0.03786086
0.0546875,0.07794513
0.05488281,0.04444652
0.05507813,0.08531099
0.05527344,0.01987049
0.05546875,0.03271508
0.05566406,0.3113126
0.05585938,0.07868386
0.05605469,0.04354109
0.05625,0.3020028
0.05644531,0.0203233
0.05664063,0.04216159
0.05683594,0.04729715
0.05703125,0.03137387
0.05722656,0.07949977
0.05742187,0.03858715
0.05761719,0.04442283
0.0578125,0.0857602
0.05800781,0.07937233
0.05820313,0.2126992
0.05839844,0.04144038
0.05859375,0.03163517
0.05878906,0.03700391
0.05898438,0.03906767
0.05917969,0.02087703
0.059375,0.09553626
0.05957031,0.08494659
0.05976563,0.01610129
0.05996094,0.3033664
0.06015625,0.03464336
0.06035156,0.06490754
0.06054688,0.03913571
0.06074219,0.03836016
0.0609375,0.2117319
0.06113281,0.02850439
0.06132812,0.02947192
0.06152344,0.03310856
0.06171875,0.01504015
0.06191406,0.3138449
0.06210938,0.03403476
0.06230469,0.03862533
0.0625,0.03072671
0.06269532,0.01697975
0.06289063,0.02773125
0.06308594,0.0609691
0.06328125,0.02157408
0.06347656,0.03431027
0.06367188,0.02888175
0.06386719,0.02520894
0.0640625,0.02190052
0.06425782,0.05957376
0.06445313,0.04084752
0.06464844,0.06756598
0.06484375,0.03987264
0.06503906,0.029317
0.06523438,0.02119382
0.06542969,0.02824732
0.065625,0.1808129
0.06582031,0.1105108
0.06601562,0.01325817
0.06621094,0.02548819
0.06640625,0.01707261
0.06660157,0.02441734
0.06679688,0.01972815
0.06699219,0.0231804
0.0671875,0.02182127
0.06738281,0.02579208
0.06757813,0.07121442
0.06777344,0.02538916
0.06796875,0.01776542
0.06816407,0.05934582
0.06835938,0.05913835
0.06855469,0.2582347
0.06875,0.01223664
0.06894531,0.0213622
0.06914063,0.2585088
0.06933594,0.03011497
0.06953125,0.03727812
0.06972656,0.2555193
0.06992187,0.01897009
0.07011719,0.02934453
0.0703125,0.06855193
0.07050782,0.193796
0.07070313,0.03292248
0.07089844,0.1668812
0.07109375,0.1455525
0.07128906,0.04943626
0.07148438,0.0156801
0.07167969,0.1501815
0.071875,0.08569694
0.07207032,0.02329404
0.07226563,0.2371474
0.07246094,0.02224039
0.07265625,0.03895961
0.07285156,0.08266544
0.07304688,0.06402139
0.07324219,0.03048711
0.0734375,0.02007743
0.07363281,0.0264254
0.07382812,0.02758583
0.07402344,0.04973783
0.07421875,0.03176168
0.07441407,0.02297127
0.07460938,0.01772516
0.07480469,0.06583309
0.075,0.2118443
0.07519531,0.02299866
0.07539063,0.01349791
0.07558594,0.03516433
0.07578125,0.01435441
0.07597657,0.05613127
0.07617188,0.02148638
0.07636719,0.02226105
0.0765625,0.02963525
0.07675781,0.02459663
0.07695313,0.2102764
0.07714844,0.2141607
0.07734375,0.01735917
0.07753906,0.01897986
0.07773437,0.1525503
0.07792969,0.02385998
0.078125,0.02402759
0.07832032,0.1565987
0.07851563,0.01524435
0.07871094,0.1174612
0.07890625,0.02298732
0.07910156,0.02019298
0.07929688,0.02845509
0.07949219,0.01860575
0.0796875,0.01665312
0.07988282,0.02884666
0.08007813,0.01821103
