time,value
0,-0.0868086
0.0001953125,0.06774
0.000390625,-0.004277172
0.0005859375,0.1016114
0.00078125,0.1012457
0.0009765625,0.06623488
0.001171875,0.114452
0.001367187,0.1958361
0.0015625,0.1679247
0.001757813,0.2214837
0.001953125,0.2511481
0.002148438,0.2813146
0.00234375,0.2890361
0.002539063,0.2717237
0.002734375,0.3270454
0.002929688,0.3276494
0.003125,0.336922
0.003320313,0.3510362
0.003515625,0.3466264
0.003710937,0.3516785
0.00390625,0.3495166
0.004101563,0.3527169
0.004296875,0.331472
0.004492187,0.3752109
0.0046875,0.3305211
0.004882813,0.3551428
0.005078125,0.3616843
0.005273438,0.3479977
0.00546875,0.3883222
0.005664063,0.3606796
0.005859375,0.3556058
0.006054688,0.3767652
0.00625,0.3785004
0.006445312,0.376954
0.006640625,0.3812776
0.006835938,0.382599
0.00703125,0.371504
0.007226563,0.3379997
0.007421875,0.4453767
0.007617188,0.3575898
0.0078125,0.4138836
0.008007812,0.3961135
0.008203126,0.4009845
0.008398438,0.3785496
0.00859375,0.3497068
0.008789063,0.4136201
0.008984375,0.3898774
0.009179688,0.3537607
0.009375,0.4375006
0.009570313,0.3726909
0.009765625,0.3635117
0.009960937,0.3672407
0.01015625,0.4126271
0.01035156,0.4499409
0.01054688,0.3928395
0.01074219,0.4235902
0.0109375,0.4232445
0.01113281,0.4173462
0.01132813,0.4028098
0.01152344,0.4188543
0.01171875,0.443781
0.01191406,0.4232421
0.01210938,0.4188796
0.01230469,0.4645422
0.0125,0.4126909
0.01269531,0.4783518
0.01289062,0.4087038
0.01308594,0.3781237
0.01328125,0.4253834
0.01347656,0.483339
0.01367188,0.4245707
0.01386719,0.4844236
0.0140625,0.4548141
0.01425781,0.4206466
0.01445313,0.4962623
0.01464844,0.4670555
0.01484375,0.4433666
0.01503906,0.4465522
0.01523438,0.4465285
0.01542969,0.4354097
0.015625,0.4978389
0.01582031,0.4458978
0.01601562,0.5442091
0.01621094,0.4725119
0.01640625,0.480571
0.01660156,0.4727952
0.01679688,0.5121247
0.01699219,0.5526554
0.0171875,0.4983872
0.01738281,0.5246503
0.01757813,0.5389743
0.01777344,0.4901254
0.01796875,0.4813033
0.01816406,0.5024925
0.01835938,0.4779468
0.01855469,0.5255487
0.01875,0.574205
0.01894531,0.4535589
0.01914063,0.541437
0.01933594,0.5230556
0.01953125,0.4873068
0.01972656,0.4891482
0.01992187,0.4453092
0.02011719,0.5073672
0.0203125,0.5155806
0.02050781,0.5188581
0.02070313,0.4826556
0.02089844,0.5523733
0.02109375,0.5235376
0.02128906,0.5374998
0.02148438,0.5089654
0.02167969,0.5115287
0.021875,0.5215667
0.02207031,0.5132449
0.02226563,0.5315913
0.02246094,0.4889515
0.02265625,0.5291885
0.02285156,0.5576823
0.02304688,0.5518252
0.02324219,0.4620171
0.0234375,0.5295078
0.02363281,0.5497462
0.02382812,0.5582018
0.02402344,0.5605926
0.02421875,0.5550364
0.02441406,0.5742117
0.02460938,0.5196746
0.02480469,0.576751
0.025,0.5627417
0.02519531,0.5114952
0.02539063,0.554756
0.02558594,0.5405126
0.02578125,0.5330467
0.02597656,0.5199504
0.02617188,0.5740129
0.02636719,0.490619
0.0265625,0.533317
0.02675781,0.5631142
0.02695313,0.5218871
0.02714844,0.5584761
0.02734375,0.5850552
0.02753906,0.533604
0.02773437,0.599024
0.02792969,0.5505106
0.028125,0.5228631
0.02832031,0.5314787
0.02851563,0.5514176
0.02871094,0.5815466
0.02890625,0.5982618
0.02910156,0.6137943
0.02929688,0.5365158
0.02949219,0.5611219
0.0296875,0.5661235
0.02988281,0.5927777
0.03007813,0.5943816
0.03027344,0.5975125
0.03046875,0.5708253
0.03066406,0.6315266
0.03085938,0.5874924
0.03105469,0.6087567
