time,value
0,0.2272196
0.0001953125,0.1915342
0.000390625,0.1465747
0.0005859375,0.1481057
0.00078125,0.097992
0.0009765625,0.08618046
0.001171875,0.07708828
0.001367187,0.08934469
0.0015625,0.08707734
0.001757813,0.08047155
0.001953125,0.09248993
0.002148438,0.06256448
0.00234375,0.05459799
0.002539063,0.05155494
0.002734375,0.04643304
0.002929688,0.03471766
0.003125,0.03536747
0.003320313,0.0353694
0.003515625,0.03013096
0.003710937,0.05180119
0.00390625,0.03777567
0.004101563,0.04155201
0.004296875,0.0392746
0.004492187,0.03145063
0.0046875,0.03702326
0.004882813,0.02632472
0.005078125,0.04317437
0.005273438,0.03144474
0.00546875,0.02203149
0.005664063,0.03905319
0.005859375,0.03383951
0.006054688,0.04225346
0.00625,0.02894694
0.006445312,0.0277068
0.006640625,0.0368019
0.006835938,0.04750518
0.00703125,0.02224229
0.007226563,0.02956996
0.007421875,0.0329402
0.007617188,0.03072529
0.0078125,0.03239114
0.008007812,0.02195905
0.008203126,0.032058
0.008398438,0.02840329
0.00859375,0.02717598
0.008789063,0.02553009
0.008984375,0.0233312
0.009179688,0.03091703
0.009375,0.02492303
0.009570313,0.02957188
0.009765625,0.03112298
0.009960937,0.02901711
0.01015625,0.02648669
0.01035156,0.02174813
0.01054688,0.02223764
0.01074219,0.02586092
0.0109375,0.01672205
0.01113281,0.02034115
0.01132813,0.02768603
0.01152344,0.02860084
0.01171875,0.02568676
0.01191406,0.02222998
0.01210938,0.01454538
0.01230469,0.0276398
0.0125,0.01933941
0.01269531,0.01650982
0.01289062,0.02312596
0.01308594,0.02718193
0.01328125,0.02131351
0.01347656,0.03166422
0.01367188,0.01773223
0.01386719,0.02436215
0.0140625,0.02115108
0.01425781,0.02522535
0.01445313,0.02076154
0.01464844,0.0183258
0.01484375,0.01951206
0.01503906,0.0309046
0.01523438,0.01651499
0.01542969,0.01661176
0.015625,0.02067868
0.01582031,0.0185456
0.01601562,0.01707714
0.01621094,0.01891461
0.01640625,0.01979481
0.01660156,0.02273811
0.01679688,0.01501532
0.01699219,0.0230332
0.0171875,0.03083115
0.01738281,0.03097071
0.01757813,0.02028425
0.01777344,0.02151109
0.01796875,0.02585484
0.01816406,0.01921501
0.01835938,0.02301931
0.01855469,0.01574744
0.01875,0.02295097
0.01894531,0.01563898
0.01914063,0.02397484
0.01933594,0.01435374
0.01953125,0.02106818
0.01972656,0.01581824
0.01992187,0.0127263
0.02011719,0.02659645
0.0203125,0.01701751
0.02050781,0.01824544
0.02070313,0.01350333
0.02089844,0.01535948
0.02109375,0.0189514
0.02128906,0.02170096
0.02148438,0.01929613
0.02167969,0.01904528
0.021875,0.01576741
0.02207031,0.02604833
0.02226563,0.01856555
0.02246094,0.01664111
0.02265625,0.02098329
0.02285156,0.01679452
0.02304688,0.01958062
0.02324219,0.01611167
0.0234375,0.02046038
0.02363281,0.01009456
0.02382812,0.02496867
0.02402344,0.01488987
0.02421875,0.01665738
0.02441406,0.01798828
0.02460938,0.0172909
0.02480469,0.01330998
0.025,0.01919034
0.02519531,0.01203878
0.02539063,0.02798585
0.02558594,0.01043069
0.02578125,0.007946181
0.02597656,0.01574099
0.02617188,0.01204173
0.02636719,0.01197364
0.0265625,0.01722212
0.02675781,0.009085745
0.02695313,0.01181796
0.02714844,0.01001796
0.02734375,0.01258192
0.02753906,0.01230085
0.02773437,0.01427078
0.02792969,0.01152315
0.028125,0.0108117
0.02832031,0.01094252
0.02851563,0.01188182
0.02871094,0.009499818
0.02890625,0.01300109
0.02910156,0.007426327
0.02929688,0.009838089
0.02949219,0.009853641
0.0296875,0.008239903
0.02988281,0.01430847
0.03007813,0.0108561
0.03027344,0.009462196
0.03046875,0.01311781
0.03066406,0.01506986
0.03085938,0.01031492
0.03105469,0.01030459
0.03125,0.01001753
0.03144531,0.009006403
0.03164063,0.01156592
0.03183594,0.01014291
0.03203125,0.007201741
0.03222656,0.01073685
0.03242188,0.0128467
0.03261719,0.008538285
0.0328125,0.01163245
0.03300781,0.00840002
0.03320313,0.01191343
0.03339844,0.009529
0.03359375,0.00996558
0.03378906,0.009580517
0.03398437,0.007758631
0.03417969,0.01086041
0.034375,0.008203434
0.03457031,0.005993768
0.03476563,0.01019041
0.03496094,0.009672496
0.03515625,0.005580899
0.03535156,0.006944451
0.03554688,0.006318196
0.03574219,0.01153612
0.0359375,0.008095153
0.03613281,0.01376344
0.03632813,0.0167879
0.03652344,0.008554258
0.03671875,0.008292019
0.03691406,0.01156325
0.03710938,0.006373936
0.03730469,0.01371322
0.0375,0.0101659
0.03769531,0.01032038
0.03789062,0.01221818
0.03808594,0.01074881
0.03828125,0.00518736
0.03847656,0.01037537
0.03867188,0.008031487
0.03886719,0.00880679
0.0390625,0.008313367
0.03925781,0.01150131
0.03945313,0.01276922
0.03964844,0.006637225
0.03984375,0.008331155
0.04003906,0.008716349
0.04023438,0.007926173
0.04042969,0.0152509
0.040625,0.009268558
0.04082031,0.009892834
0.04101563,0.01108008
0.04121094,0.006316555
0.04140625,0.004923364
0.04160156,0.0104655
0.04179687,0.004467352
0.04199219,0.004050462
0.0421875,0.005746503
0.04238281,0.007078944
0.04257813,0.01218547
0.04277344,0.004355548
0.04296875,0.005032095
0.04316406,0.005554905
0.04335938,0.01324775
0.04355469,0.007522882
0.04375,0.008388651
0.04394531,0.004550328
0.04414063,0.01005692
0.04433594,0.004911455
0.04453125,0.006101215
0.04472656,0.01212474
0.04492188,0.004893809
0.04511719,0.009869028
0.0453125,0.005122922
0.04550781,0.00620621
0.04570312,0.006393007
0.04589844,0.00509004
0.04609375,0.006235144
0.04628906,0.01377093
0.04648438,0.00647888
0.04667969,0.004878047
0.046875,0.005719132
0.04707031,0.00581269
0.04726563,0.00714875
0.04746094,0.006086576
0.04765625,0.006026822
0.04785156,0.01050336
0.04804688,0.006405154
0.04824219,0.01219448
0.0484375,0.008456266
0.04863281,0.005009471
0.04882813,0.007033277
0.04902344,0.0120848
0.04921875,0.006984695
0.04941406,0.005323226
0.04960937,0.006109701
0.04980469,0.0123306
0.05,0.005055204
0.05019531,0.00312732
0.05039063,0.005566908
0.05058594,0.005434129
0.05078125,0.01237177
0.05097656,0.005881101
0.05117188,0.006402597
0.05136719,0.01028314
0.0515625,0.005589386
0.05175781,0.005002156
0.05195313,0.00822626
0.05214844,0.006036541
0.05234375,0.003577148
0.05253906,0.004547949
0.05273438,0.004336672
0.05292969,0.005413768
0.053125,0.003210755
0.05332031,0.003596159
0.05351562,0.004206258
0.05371094,0.005513125
0.05390625,0.003283922
0.05410156,0.004205102
0.05429688,0.01326893
0.05449219,0.006272818
0.0546875,0.004601482
0.05488281,0.006142349
0.05507813,0.007100727
0.05527344,0.005336929
0.05546875,0.002984993
0.05566406,0.003890167
0.05585938,0.003757878
0.05605469,0.003481463
0.05625,0.004845241
0.05644531,0.004315264
0.05664063,0.004576641
0.05683594,0.004545921
0.05703125,0.005199093
0.05722656,0.004610436
0.05742187,0.005484159
0.05761719,0.004065149
0.0578125,0.003658497
0.05800781,0.004821352
0.05820313,0.006734499
0.05839844,0.005673848
0.05859375,0.007259519
0.05878906,0.005449611
0.05898438,0.005392847
0.05917969,0.004211319
0.059375,0.004655632
0.05957031,0.01234548
0.05976563,0.003887092
0.05996094,0.006778217
0.06015625,0.004142772
0.06035156,0.00610559
0.06054688,0.005841894
0.06074219,0.01017442
0.0609375,0.009742262
0.06113281,0.006810563
0.06132812,0.005829283
0.06152344,0.006442513
0.06171875,0.003562141
0.06191406,0.004764575
0.06210938,0.00490001
0.06230469,0.003599574
0.0625,0.003801415
0.06269532,0.004291677
0.06289063,0.002711409
0.06308594,0.005139575
0.06328125,0.009922871
0.06347656,0.003498575
0.06367188,0.002319115
0.06386719,0.004063184
0.0640625,0.002236163
0.06425782,0.003339968
0.06445313,0.002845976
0.06464844,0.005186698
0.06484375,0.003047276
0.06503906,0.001786439
0.06523438,0.002235082
0.06542969,0.003704763
0.065625,0.004671332
0.06582031,0.002771255
0.06601562,0.003286929
0.06621094,0.005325503
