time,value
0,-0.09585371
0.0125,-0.1588118
0.025,-0.06304195
0.0375,-0.08714455
0.05,0.02710685
0.0625,0.07745894
0.075,0.1032068
0.0875,0.1713439
0.1,0.1431331
0.1125,0.2190241
0.125,0.2362923
0.1375,0.2301295
0.15,0.3446705
0.1625,0.2704262
0.175,0.3302779
0.1875,0.312777
0.2,0.3606647
0.2125,0.3564677
0.225,0.3602314
0.2375,0.3724178
0.25,0.3710811
0.2625,0.3693052
0.275,0.3876201
0.2875,0.4061116
0.3,0.3840146
0.3125,0.4122715
0.325,0.4272455
0.3375,0.431621
0.35,0.4365664
0.3625,0.445196
0.375,0.460526
0.3875,0.4577641
0.4,0.4836202
0.4125,0.4766952
0.425,0.4816329
0.4375,0.5003635
0.45,0.5031027
0.4625,0.5193387
0.475,0.5120543
0.4875,0.5090388
0.5,0.5182863
0.5125,0.5159655
0.525,0.5391466
0.5375,0.5364935
0.55,0.5358596
0.5625,0.5380686
0.575,0.5375506
0.5875,0.5284897
0.6,0.5296103
0.6125,0.5339249
0.625,0.5367702
0.6375,0.5340574
0.65,0.5341227
0.6625,0.523728
0.675,0.5345568
0.6875,0.5355581
0.7,0.5329706
0.7125,0.5213128
0.725,0.5136716
0.7375,0.5193211
0.75,0.5225673
0.7625,0.5186893
0.775,0.5166773
0.7875,0.5216327
0.8,0.510193
0.8125,0.5256485
0.825,0.5239728
0.8375,0.5298489
0.85,0.5371541
0.8625,0.5363686
0.875,0.5487392
0.8875,0.5601724
0.9,0.5639433
0.9125,0.571631
0.925,0.5710738
0.9375,0.5821079
0.95,0.5813664
0.9625,0.5865095
0.975,0.590552
0.9875,0.6030911
