time,value
0,0.4281231
0.0125,0.4282023
0.025,0.2804386
0.0375,0.3179902
0.05,0.2824323
0.0625,0.2433256
0.075,0.282268
0.0875,0.2098735
0.1,0.188703
0.1125,0.1779864
0.125,0.2259137
0.1375,0.1452941
0.15,0.131733
0.1625,0.1549562
0.175,0.2034585
0.1875,0.1748472
0.2,0.1251749
0.2125,0.1310044
0.225,0.1657659
0.2375,0.137146
0.25,0.1485709
0.2625,0.1266256
0.275,0.1523594
0.2875,0.1506277
0.3,0.2120386
0.3125,0.1433325
0.325,0.135919
0.3375,0.1391927
0.35,0.1246
0.3625,0.1183565
0.375,0.1763051
0.3875,0.1307312
0.4,0.1227206
0.4125,0.1052267
0.425,0.08597406
0.4375,0.1284706
0.45,0.1055253
0.4625,0.1359256
0.475,0.1519825
0.4875,0.0909467
0.5,0.114373
0.5125,0.1642701
0.525,0.1649707
0.5375,0.1648445
0.55,0.1301229
0.5625,0.1295869
0.575,0.1236006
0.5875,0.1469778
0.6,0.08678149
0.6125,0.1013036
0.625,0.09832536
0.6375,0.1647419
0.65,0.1552114
0.6625,0.1687261
0.675,0.116367
0.6875,0.1525082
0.7,0.1150599
0.7125,0.1051524
0.725,0.1125923
0.7375,0.117929
0.75,0.1507997
0.7625,0.1247526
0.775,0.158039
0.7875,0.1258669
0.8,0.1082917
0.8125,0.1525015
0.825,0.1570556
0.8375,0.1168271
0.85,0.1122254
0.8625,0.1112075
0.875,0.1342484
0.8875,0.1232808
0.9,0.09714577
0.9125,0.07855864
0.925,0.1178543
0.9375,0.1873737
0.95,0.08860253
0.9625,0.10448
0.975,0.1039929
0.9875,0.09583825
