time,value
0,5
0.003125,25
0.00625,25
0.009375,19
0.0125,25
0.015625,25
0.01875,25
0.021875,25
0.025,4
0.028125,25
0.03125,25
0.034375,25
0.0375,25
0.040625,25
0.04375,7
0.046875,19
0.05,12
0.053125,6
0.05625,18
0.059375,25
0.0625,25
0.065625,25
0.06875,12
0.071875,25
0.075,25
0.078125,25
0.08125,25
0.084375,25
0.0875,25
0.090625,25
0.09375,25
0.096875,25
0.1,7
0.103125,25
0.10625,25
0.109375,25
0.1125,25
0.115625,25
0.11875,8
0.121875,25
0.125,25
0.128125,25
0.13125,25
0.134375,25
0.1375,25
0.140625,25
0.14375,19
0.146875,25
0.15,25
0.153125,3
0.15625,25
0.159375,25
0.1625,25
0.165625,25
0.16875,25
0.171875,25
0.175,25
0.178125,25
0.18125,25
0.184375,25
0.1875,9
0.190625,25
0.19375,10
0.196875,25
0.2,18
0.203125,25
0.20625,25
0.209375,25
0.2125,25
0.215625,21
0.21875,25
0.221875,25
0.225,25
0.228125,4
0.23125,19
0.234375,25
0.2375,18
0.240625,25
0.24375,25
0.246875,6
0.25,25
0.253125,22
0.25625,25
0.259375,25
0.2625,7
0.265625,25
0.26875,25
0.271875,22
0.275,25
0.278125,25
0.28125,11
0.284375,25
0.2875,25
0.290625,3
0.29375,25
0.296875,25
0.3,14
0.303125,9
0.30625,25
0.309375,25
0.3125,25
0.315625,25
0.31875,25
0.321875,7
0.325,25
0.328125,25
0.33125,25
0.334375,25
0.3375,25
0.340625,25
0.34375,25
0.346875,25
0.35,25
0.353125,25
0.35625,25
0.359375,25
0.3625,25
0.365625,18
0.36875,25
0.371875,25
0.375,25
0.378125,25
0.38125,25
0.384375,10
0.3875,25
0.390625,25
0.39375,25
0.396875,25
0.4,25
0.403125,25
0.40625,25
0.409375,20
0.4125,25
0.415625,25
0.41875,25
0.421875,25
0.425,25
0.428125,25
0.43125,25
0.434375,25
0.4375,25
0.440625,25
0.44375,25
0.446875,25
0.45,25
0.453125,25
0.45625,4
0.459375,25
0.4625,25
0.465625,25
0.46875,25
0.471875,25
0.475,25
0.478125,25
0.48125,18
0.484375,25
0.4875,25
0.490625,25
0.49375,25
0.496875,25
0.5,25
0.503125,25
0.50625,25
0.509375,10
0.5125,19
0.515625,25
0.51875,25
0.521875,25
0.525,25
0.528125,25
0.53125,1
0.534375,25
0.5375,25
0.540625,25
0.54375,25
0.546875,25
0.55,25
0.553125,25
0.55625,25
0.559375,5
0.5625,22
0.565625,7
0.56875,3
0.571875,25
0.575,20
0.578125,25
0.58125,25
0.584375,25
0.5875,25
0.590625,25
0.59375,25
0.596875,9
0.6,25
0.603125,25
0.60625,4
0.609375,25
0.6125,25
0.615625,4
0.61875,25
0.621875,25
0.625,25
0.628125,25
0.63125,25
0.634375,25
0.6375,25
0.640625,25
0.64375,25
0.646875,25
0.65,25
0.653125,25
0.65625,25
0.659375,25
0.6625,19
0.665625,25
0.66875,8
0.671875,6
0.675,22
0.678125,25
0.68125,25
0.684375,25
0.6875,25
0.690625,25
0.69375,25
0.696875,25
0.7,25
0.703125,25
0.70625,25
