time,value
0,5.773958
0.003125,17.9318
0.00625,8.486784
0.009375,14.84001
0.0125,10.05541
0.015625,15.32809
0.01875,8.760112
0.021875,1.975595
0.025,4.078308
0.028125,2.052918
0.03125,9.889935
0.034375,6.535544
0.0375,14.67695
0.040625,5.884418
0.04375,6.231937
0.046875,13.52167
0.05,9.820367
0.053125,5.734705
0.05625,12.77703
0.059375,2.912763
0.0625,15.03688
0.065625,16.01327
0.06875,10.48836
0.071875,5.825741
0.075,12.35773
0.078125,19.89929
0.08125,10.59029
0.084375,1.860192
0.0875,4.802505
0.090625,15.24474
0.09375,6.20177
0.096875,11.80671
0.1,6.444851
0.103125,4.701419
0.10625,12.16547
0.109375,15.71843
0.1125,13.17927
0.115625,12.14458
0.11875,7.444242
0.121875,18.48804
0.125,14.86067
0.128125,1.037361
0.13125,2.195671
0.134375,13.38386
0.1375,1.980866
0.140625,17.53426
0.14375,14.35013
0.146875,9.579074
0.15,0.7665718
0.153125,3.256569
0.15625,1.631096
0.159375,14.89433
0.1625,9.290431
0.165625,8.4769
0.16875,13.31998
0.171875,10.46712
0.175,9.197227
0.178125,3.242246
0.18125,8.5157
0.184375,2.258968
0.1875,7.998742
0.190625,2.91907
0.19375,9.307028
0.196875,9.119573
0.2,13.67134
0.203125,7.059153
0.20625,1.943581
0.209375,8.669373
0.2125,1.92649
0.215625,14.16004
0.21875,11.62403
0.221875,11.13117
0.225,4.271226
0.228125,4.035573
0.23125,15.2104
0.234375,8.864965
0.2375,13.60014
0.240625,17.0405
0.24375,9.654523
0.246875,5.624933
0.25,6.868358
0.253125,12.67988
0.25625,14.66365
0.259375,11.66413
0.2625,6.089669
0.265625,1.631819
0.26875,5.434138
0.271875,19.65478
0.275,17.16612
0.278125,13.07971
0.28125,9.516927
0.284375,13.73361
0.2875,12.10812
0.290625,3.265951
0.29375,2.966619
0.296875,13.29689
0.3,11.55679
0.303125,8.029511
0.30625,6.444477
0.309375,16.57649
0.3125,7.459486
0.315625,8.84475
0.31875,10.81535
0.321875,6.491455
0.325,8.98167
0.328125,15.55127
0.33125,6.314034
0.334375,12.68943
0.3375,6.062655
0.340625,1.030638
0.34375,8.985176
0.346875,19.49215
0.35,2.311418
0.353125,6.700546
0.35625,0.5233582
0.359375,16.24399
0.3625,2.349454
0.365625,14.85091
0.36875,15.52893
0.371875,7.650742
0.375,15.53427
0.378125,8.399949
0.38125,2.27447
0.384375,9.159832
0.3875,8.83809
0.390625,10.26093
0.39375,12.23683
0.396875,1.788095
0.4,1.995961
0.403125,12.30074
0.40625,13.65437
0.409375,14.97397
0.4125,1.893466
0.415625,16.03252
0.41875,13.74921
0.421875,2.814488
0.425,5.351997
0.428125,8.431062
0.43125,9.656943
0.434375,6.589714
0.4375,8.023036
0.440625,3.654207
0.44375,6.644616
0.446875,10.00739
0.45,9.543292
0.453125,7.828297
0.45625,3.953702
0.459375,17.5837
0.4625,10.05634
0.465625,11.99574
0.46875,14.54266
0.471875,2.794068
0.475,1.233548
0.478125,4.222059
0.48125,15.09064
0.484375,5.732749
0.4875,16.89727
0.490625,13.15361
0.49375,11.06809
0.496875,11.97272
0.5,19.2993
0.503125,8.60654
0.50625,11.43084
0.509375,8.960476
0.5125,15.55995
0.515625,15.62735
0.51875,0.5284378
0.521875,14.71685
0.525,3.904522
0.528125,1.705966
0.53125,1.453423
0.534375,7.92115
0.5375,10.90594
0.540625,18.20607
0.54375,17.03154
0.546875,2.737256
0.55,9.351427
0.553125,17.75157
0.55625,10.00497
0.559375,4.678492
0.5625,18.35196
0.565625,6.355222
0.56875,3.258316
0.571875,7.472051
0.575,14.86248
0.578125,3.845564
0.58125,6.179909
0.584375,4.386034
0.5875,7.982509
0.590625,8.439751
0.59375,9.933249
0.596875,7.501542
0.6,1.42155
0.603125,10.06341
0.60625,3.9256
0.609375,14.16745
0.6125,10.17057
0.615625,4.012393
0.61875,20.93167
0.621875,1.715675
0.625,14.85501
0.628125,2.413977
0.63125,7.344772
0.634375,15.92505
0.6375,15.22725
0.640625,7.256951
0.64375,6.005554
0.646875,3.251714
0.65,1.508924
0.653125,18.45894
0.65625,16.19748
0.659375,12.74542
0.6625,14.76868
0.665625,17.5302
0.66875,7.527303
0.671875,5.774765
0.675,17.92665
0.678125,1.294222
0.68125,5.550805
0.684375,19.78684
0.6875,7.478357
0.690625,5.976698
0.69375,7.68015
0.696875,16.39723
0.7,12.54163
0.703125,1.578397
0.70625,1.754909
