time,value
0,0.05337597
0.0001953125,0.09320962
0.000390625,0.1054307
0.0005859375,0.1279014
0.00078125,0.1689795
0.0009765625,0.2083082
0.001171875,0.2047266
0.001367187,0.2428416
0.0015625,0.1919504
0.001757813,0.2329606
0.001953125,0.2279482
0.002148438,0.2555165
0.00234375,0.2780508
0.002539063,0.3178111
0.002734375,0.2886463
0.002929688,0.3254921
0.003125,0.3408327
0.003320313,0.3555783
0.003515625,0.3689158
0.003710937,0.3893432
0.00390625,0.4114155
0.004101563,0.4248104
0.004296875,0.4289466
0.004492187,0.438796
0.0046875,0.4644777
0.004882813,0.4966875
0.005078125,0.520474
0.005273438,0.55198
0.00546875,0.5104957
0.005664063,0.4898514
0.005859375,0.5523293
0.006054688,0.5893398
0.00625,0.5867721
0.006445312,0.5738439
0.006640625,0.5926663
0.006835938,0.6052952
0.00703125,0.6191526
0.007226563,0.6219647
0.007421875,0.6179782
0.007617188,0.6433131
0.0078125,0.6158281
0.008007812,0.6204387
0.008203126,0.6233151
0.008398438,0.6310146
0.00859375,0.6434588
0.008789063,0.6633224
0.008984375,0.6480569
0.009179688,0.6666263
0.009375,0.6835033
0.009570313,0.6655474
0.009765625,0.707557
0.009960937,0.6696333
0.01015625,0.6891118
0.01035156,0.7038203
0.01054688,0.6673458
0.01074219,0.6522534
0.0109375,0.6736243
0.01113281,0.671373
0.01132813,0.656038
0.01152344,0.6874393
0.01171875,0.6887967
0.01191406,0.667053
0.01210938,0.6329894
0.01230469,0.6346979
0.0125,0.6665071
0.01269531,0.6701275
0.01289062,0.6661584
0.01308594,0.691652
0.01328125,0.677554
0.01347656,0.6644794
0.01367188,0.6988388
0.01386719,0.6858101
0.0140625,0.7043467
0.01425781,0.6724707
0.01445313,0.6607385
0.01464844,0.6627431
0.01484375,0.7057712
0.01503906,0.6737703
0.01523438,0.6840628
0.01542969,0.6834131
0.015625,0.6914163
0.01582031,0.6654083
0.01601562,0.6873124
0.01621094,0.7125711
0.01640625,0.6805988
0.01660156,0.6822085
0.01679688,0.743457
0.01699219,0.6951891
0.0171875,0.7026331
0.01738281,0.7064582
0.01757813,0.7726853
0.01777344,0.731472
0.01796875,0.7236649
0.01816406,0.7522246
0.01835938,0.7493783
0.01855469,0.7580538
0.01875,0.7430192
0.01894531,0.7709771
0.01914063,0.7615722
0.01933594,0.7793512
0.01953125,0.7750431
0.01972656,0.7557004
0.01992187,0.7400386
0.02011719,0.7609714
0.0203125,0.7966901
0.02050781,0.7835991
0.02070313,0.8028771
0.02089844,0.807698
0.02109375,0.8029443
0.02128906,0.7799915
0.02148438,0.794249
0.02167969,0.786086
0.021875,0.7905723
0.02207031,0.8032761
0.02226563,0.7945644
0.02246094,0.7898895
0.02265625,0.775396
0.02285156,0.80295
0.02304688,0.8056937
0.02324219,0.7987072
0.0234375,0.7790891
0.02363281,0.7705888
0.02382812,0.8188891
0.02402344,0.7984841
0.02421875,0.8026721
0.02441406,0.797766
0.02460938,0.7939772
0.02480469,0.795935
0.025,0.8277723
0.02519531,0.7869722
0.02539063,0.8088803
0.02558594,0.8289206
0.02578125,0.7918089
0.02597656,0.8144122
0.02617188,0.8544492
0.02636719,0.8694237
0.0265625,0.8183705
0.02675781,0.8393422
0.02695313,0.8289689
0.02714844,0.8644989
0.02734375,0.8528168
0.02753906,0.8585115
0.02773437,0.8274423
0.02792969,0.8593715
0.028125,0.8342576
0.02832031,0.8511956
0.02851563,0.8576996
0.02871094,0.8793149
0.02890625,0.8746426
0.02910156,0.8466452
0.02929688,0.8653233
0.02949219,0.8626671
0.0296875,0.8965685
0.02988281,0.8997003
0.03007813,0.8931313
0.03027344,0.8946933
0.03046875,0.9180147
0.03066406,0.8500283
0.03085938,0.8810067
0.03105469,0.8958806
0.03125,0.8748454
0.03144531,0.9259981
0.03164063,0.899951
0.03183594,0.932786
0.03203125,0.9263229
0.03222656,0.903246
0.03242188,0.9618516
0.03261719,0.9326599
0.0328125,0.9084354
0.03300781,0.8965182
0.03320313,0.9327198
0.03339844,0.9253109
0.03359375,0.9350752
0.03378906,0.9132503
0.03398437,0.913048
0.03417969,0.8906143
0.034375,0.922478
0.03457031,0.9257616
0.03476563,0.920599
0.03496094,0.9495453
0.03515625,0.9251037
0.03535156,0.9319686
0.03554688,0.9001325
0.03574219,0.9207647
0.0359375,0.9533487
0.03613281,0.9647653
0.03632813,0.965924
0.03652344,0.9485044
0.03671875,0.9540128
0.03691406,0.960741
0.03710938,0.9670122
0.03730469,0.9719164
0.0375,0.9406702
0.03769531,0.9825755
0.03789062,0.9825546
0.03808594,1.005481
0.03828125,0.9537122
0.03847656,1.02792
0.03867188,1.0023
0.03886719,1.024008
0.0390625,1.004025
0.03925781,0.9834433
0.03945313,1.000556
0.03964844,1.02659
0.03984375,1.008715
0.04003906,1.041385
0.04023438,1.04371
0.04042969,0.9990199
0.040625,1.037393
0.04082031,1.034339
0.04101563,1.050551
0.04121094,1.038496
0.04140625,1.001288
0.04160156,1.037569
0.04179687,1.049223
0.04199219,1.066972
0.0421875,1.032712
0.04238281,1.016286
0.04257813,1.095695
0.04277344,1.02991
0.04296875,1.066615
0.04316406,1.075372
0.04335938,1.085526
0.04355469,1.080023
0.04375,1.02496
0.04394531,1.087008
0.04414063,1.06705
0.04433594,1.064094
0.04453125,1.095323
0.04472656,1.073858
0.04492188,1.066592
0.04511719,1.093264
0.0453125,1.122574
0.04550781,1.108493
0.04570312,1.075626
0.04589844,1.080683
0.04609375,1.108516
0.04628906,1.131255
0.04648438,1.106093
0.04667969,1.096899
0.046875,1.092497
0.04707031,1.087172
0.04726563,1.117189
0.04746094,1.114234
0.04765625,1.096967
0.04785156,1.110698
0.04804688,1.102744
0.04824219,1.088657
0.0484375,1.114136
0.04863281,1.154814
0.04882813,1.128715
0.04902344,1.093749
0.04921875,1.124784
0.04941406,1.13994
0.04960937,1.16456
0.04980469,1.165868
0.05,1.134474
0.05019531,1.14187
0.05039063,1.168022
0.05058594,1.142039
0.05078125,1.119285
0.05097656,1.133974
0.05117188,1.205971
0.05136719,1.181975
0.0515625,1.169268
0.05175781,1.218413
0.05195313,1.155178
0.05214844,1.159186
0.05234375,1.191717
0.05253906,1.172139
0.05273438,1.195235
0.05292969,1.174152
0.053125,1.165654
0.05332031,1.206174
0.05351562,1.205841
0.05371094,1.172029
0.05390625,1.206556
0.05410156,1.244359
0.05429688,1.240811
0.05449219,1.190933
0.0546875,1.184326
0.05488281,1.217195
0.05507813,1.227187
0.05527344,1.237441
0.05546875,1.208678
0.05566406,1.225739
0.05585938,1.21067
0.05605469,1.2377
0.05625,1.267907
0.05644531,1.260576
0.05664063,1.195996
0.05683594,1.189067
0.05703125,1.224962
0.05722656,1.256415
0.05742187,1.285221
0.05761719,1.242569
0.0578125,1.272465
0.05800781,1.249779
0.05820313,1.265013
0.05839844,1.282532
0.05859375,1.268963
0.05878906,1.270271
0.05898438,1.260388
0.05917969,1.306746
0.059375,1.292999
0.05957031,1.249555
0.05976563,1.278102
0.05996094,1.30969
0.06015625,1.27542
0.06035156,1.332555
0.06054688,1.282006
0.06074219,1.313497
0.0609375,1.335845
0.06113281,1.29188
0.06132812,1.265336
0.06152344,1.270204
0.06171875,1.313709
0.06191406,1.317946
0.06210938,1.335267
0.06230469,1.321365
0.0625,1.352447
0.06269532,1.291102
0.06289063,1.285134
0.06308594,1.375524
0.06328125,1.272978
0.06347656,1.343532
0.06367188,1.30978
0.06386719,1.298117
0.0640625,1.328966
0.06425782,1.366763
0.06445313,1.336775
0.06464844,1.385575
0.06484375,1.398808
0.06503906,1.390227
0.06523438,1.372039
0.06542969,1.404061
0.065625,1.389485
0.06582031,1.318689
0.06601562,1.335703
0.06621094,1.378484
0.06640625,1.354529
0.06660157,1.416376
0.06679688,1.419737
0.06699219,1.329296
0.0671875,1.370926
0.06738281,1.487524
0.06757813,1.362773
0.06777344,1.381435
0.06796875,1.431348
0.06816407,1.400809
0.06835938,1.442968
0.06855469,1.372368
0.06875,1.413111
0.06894531,1.405807
0.06914063,1.393857
0.06933594,1.42523
0.06953125,1.468648
0.06972656,1.479369
0.06992187,1.401752
0.07011719,1.484218
0.0703125,1.461642
0.07050782,1.481588
0.07070313,1.472449
0.07089844,1.418245
0.07109375,1.471752
0.07128906,1.423605
0.07148438,1.433989
0.07167969,1.476267
0.071875,1.433286
0.07207032,1.523828
0.07226563,1.431714
0.07246094,1.458433
0.07265625,1.460953
0.07285156,1.457278
0.07304688,1.469909
0.07324219,1.419325
0.0734375,1.468802
0.07363281,1.448073
0.07382812,1.507655
0.07402344,1.413413
0.07421875,1.586931
0.07441407,1.490787
0.07460938,1.51842
0.07480469,1.508023
0.075,1.519613
0.07519531,1.459788
0.07539063,1.453133
0.07558594,1.540343
0.07578125,1.552856
0.07597657,1.510072
0.07617188,1.454143
0.07636719,1.562841
0.0765625,1.603371
0.07675781,1.499354
0.07695313,1.581313
0.07714844,1.579507
0.07734375,1.489746
0.07753906,1.566006
0.07773437,1.552694
0.07792969,1.577995
0.078125,1.506738
0.07832032,1.565844
0.07851563,1.559881
0.07871094,1.564383
0.07890625,1.56755
0.07910156,1.612245
0.07929688,1.518703
0.07949219,1.558493
0.0796875,1.541054
0.07988282,1.591934
0.08007813,1.616801
0.08027344,1.569321
0.08046875,1.559599
0.08066406,1.629199
0.08085938,1.539131
0.08105469,1.644438
0.08125,1.530767
0.08144531,1.529425
0.08164062,1.474916
0.08183594,1.585382
0.08203125,1.557809
0.08222657,1.616937
0.08242188,1.645445
0.08261719,1.559143
0.0828125,1.56449
0.08300781,1.625681
0.08320313,1.642036
0.08339844,1.681026
0.08359375,1.627483
0.08378907,1.613937
0.08398438,1.615452
0.08417969,1.65974
0.084375,1.610391
0.08457031,1.651542
0.08476563,1.70105
0.08496094,1.674752
0.08515625,1.674324
0.08535156,1.620054
