time,value
0,0.3048972
0.0001953125,0.2226676
0.000390625,0.2838065
0.0005859375,0.2837632
0.00078125,0.3002265
0.0009765625,0.2353721
0.001171875,0.2574546
0.001367187,0.1812551
0.0015625,0.1676305
0.001757813,0.161096
0.001953125,0.1767513
0.002148438,0.124799
0.00234375,0.1731903
0.002539063,0.2058554
0.002734375,0.1506546
0.002929688,0.1907538
0.003125,0.1700459
0.003320313,0.1448746
0.003515625,0.1249379
0.003710937,0.1190382
0.00390625,0.1239813
0.004101563,0.1410634
0.004296875,0.1354824
0.004492187,0.107247
0.0046875,0.1017658
0.004882813,0.1377044
0.005078125,0.1266578
0.005273438,0.1018976
0.00546875,0.1213493
0.005664063,0.1130968
0.005859375,0.1287208
0.006054688,0.1330549
0.00625,0.09214036
0.006445312,0.07586265
0.006640625,0.1067739
0.006835938,0.1109008
0.00703125,0.08739032
0.007226563,0.1125551
0.007421875,0.09170537
0.007617188,0.1167894
0.0078125,0.1249123
0.008007812,0.1003905
0.008203126,0.1133136
0.008398438,0.09192556
0.00859375,0.08861594
0.008789063,0.1070447
0.008984375,0.09885623
0.009179688,0.1061245
0.009375,0.1294695
0.009570313,0.09527241
0.009765625,0.09797446
0.009960937,0.117809
0.01015625,0.09349955
0.01035156,0.09775385
0.01054688,0.1120603
0.01074219,0.1177096
0.0109375,0.09411815
0.01113281,0.09141205
0.01132813,0.08895393
0.01152344,0.08571386
0.01171875,0.08257546
0.01191406,0.08080826
0.01210938,0.1080735
0.01230469,0.10698
0.0125,0.09256281
0.01269531,0.08209902
0.01289062,0.0787286
0.01308594,0.1194667
0.01328125,0.1043206
0.01347656,0.08461501
0.01367188,0.0861732
0.01386719,0.09361246
0.0140625,0.08155538
0.01425781,0.09874956
0.01445313,0.09083155
0.01464844,0.1115906
0.01484375,0.08422071
0.01503906,0.07197501
0.01523438,0.07401274
0.01542969,0.09443178
0.015625,0.07575907
0.01582031,0.09564018
0.01601562,0.1020366
0.01621094,0.09056693
0.01640625,0.09385398
0.01660156,0.08198824
0.01679688,0.0829255
0.01699219,0.08109474
0.0171875,0.08805504
0.01738281,0.06247466
0.01757813,0.08472802
0.01777344,0.0971058
0.01796875,0.0900853
0.01816406,0.07022026
0.01835938,0.0667322
0.01855469,0.07153617
0.01875,0.09098135
0.01894531,0.08606878
0.01914063,0.0854429
0.01933594,0.07189861
0.01953125,0.07990444
0.01972656,0.07590275
0.01992187,0.09692176
0.02011719,0.08370627
0.0203125,0.07211462
0.02050781,0.07415281
0.02070313,0.08195744
0.02089844,0.07636867
0.02109375,0.09040967
0.02128906,0.08961545
0.02148438,0.07165368
0.02167969,0.07731896
0.021875,0.07928041
0.02207031,0.07808347
0.02226563,0.07879073
0.02246094,0.08425333
0.02265625,0.1020602
0.02285156,0.07007653
0.02304688,0.07176487
0.02324219,0.06463666
0.0234375,0.07298774
0.02363281,0.07314918
0.02382812,0.07574614
0.02402344,0.08402957
0.02421875,0.08471226
0.02441406,0.07664125
0.02460938,0.07487273
0.02480469,0.06731738
0.025,0.06964982
0.02519531,0.07961099
0.02539063,0.074062
0.02558594,0.06614532
0.02578125,0.06948343
0.02597656,0.0744293
0.02617188,0.0749457
0.02636719,0.07126865
0.0265625,0.08478453
0.02675781,0.0781043
0.02695313,0.07245198
0.02714844,0.07186302
0.02734375,0.07300973
0.02753906,0.07927018
0.02773437,0.08053915
0.02792969,0.06845227
0.028125,0.08196697
0.02832031,0.06703521
0.02851563,0.08691053
0.02871094,0.04866718
0.02890625,0.05302734
0.02910156,0.079463
0.02929688,0.07928208
0.02949219,0.0753334
