time,value
0,25
0.003125,25
0.00625,25
0.009375,25
0.0125,18
0.015625,25
0.01875,25
0.021875,25
0.025,25
0.028125,13
0.03125,25
0.034375,25
0.0375,25
0.040625,20
0.04375,25
0.046875,25
0.05,5
0.053125,25
0.05625,25
0.059375,13
0.0625,25
0.065625,25
0.06875,25
0.071875,25
0.075,25
0.078125,25
0.08125,25
0.084375,25
0.0875,25
0.090625,25
0.09375,14
0.096875,25
0.1,25
0.103125,25
0.10625,25
0.109375,25
0.1125,25
0.115625,25
0.11875,25
0.121875,25
0.125,25
0.128125,25
0.13125,25
0.134375,25
0.1375,9
0.140625,25
0.14375,25
0.146875,25
0.15,25
0.153125,25
0.15625,15
0.159375,25
0.1625,4
0.165625,25
0.16875,25
0.171875,22
0.175,25
0.178125,25
0.18125,25
0.184375,20
0.1875,25
0.190625,21
0.19375,25
0.196875,25
0.2,25
0.203125,25
0.20625,16
0.209375,15
0.2125,3
0.215625,25
0.21875,17
0.221875,25
0.225,25
0.228125,6
0.23125,25
0.234375,25
0.2375,7
0.240625,10
0.24375,17
0.246875,25
0.25,22
0.253125,18
0.25625,25
0.259375,25
0.2625,25
0.265625,8
0.26875,23
0.271875,25
0.275,25
0.278125,13
0.28125,24
0.284375,14
0.2875,9
0.290625,19
0.29375,4
0.296875,15
0.3,5
0.303125,13
0.30625,20
0.309375,20
0.3125,25
0.315625,2
0.31875,12
0.321875,18
0.325,10
0.328125,5
0.33125,23
0.334375,14
0.3375,15
0.340625,7
0.34375,25
0.346875,25
0.35,19
0.353125,19
0.35625,25
0.359375,1
0.3625,23
0.365625,14
0.36875,11
0.371875,13
0.375,21
0.378125,16
0.38125,25
0.384375,12
0.3875,12
0.390625,25
0.39375,7
0.396875,23
0.4,10
0.403125,19
0.40625,25
0.409375,17
0.4125,4
0.415625,25
0.41875,18
0.421875,17
0.425,25
0.428125,21
0.43125,6
0.434375,19
0.4375,25
0.440625,25
0.44375,22
0.446875,21
0.45,9
0.453125,4
0.45625,25
0.459375,10
0.4625,19
0.465625,9
0.46875,22
0.471875,25
0.475,10
0.478125,25
0.48125,25
0.484375,25
0.4875,15
0.490625,25
0.49375,24
0.496875,20
0.5,17
0.503125,7
0.50625,25
0.509375,25
0.5125,16
0.515625,18
0.51875,5
0.521875,25
0.525,25
0.528125,25
0.53125,25
0.534375,11
0.5375,20
0.540625,25
0.54375,15
0.546875,18
0.55,25
0.553125,25
0.55625,25
0.559375,13
0.5625,16
0.565625,25
0.56875,25
0.571875,25
0.575,25
0.578125,10
0.58125,25
0.584375,15
0.5875,21
0.590625,25
0.59375,22
0.596875,20
0.6,18
0.603125,13
0.60625,25
0.609375,22
0.6125,15
0.615625,23
0.61875,7
0.621875,25
0.625,17
0.628125,25
0.63125,10
0.634375,22
0.6375,25
0.640625,25
0.64375,19
0.646875,20
0.65,25
0.653125,19
0.65625,5
0.659375,25
0.6625,25
0.665625,25
0.66875,23
0.671875,25
0.675,25
0.678125,25
0.68125,25
0.684375,25
0.6875,12
0.690625,19
0.69375,24
0.696875,16
0.7,25
0.703125,22
0.70625,22
0.709375,14
0.7125,2
0.715625,25
0.71875,10
0.721875,19
0.725,7
0.728125,16
0.73125,6
0.734375,21
0.7375,25
0.740625,25
0.74375,25
0.746875,25
0.75,25
0.753125,17
0.75625,25
0.759375,25
0.7625,15
0.765625,16
0.76875,18
0.771875,20
0.775,25
0.778125,16
0.78125,25
0.784375,25
0.7875,25
0.790625,25
0.79375,22
0.796875,25
0.8,25
0.803125,11
0.80625,25
0.809375,25
0.8125,21
0.815625,8
0.81875,25
0.821875,25
0.825,25
0.828125,5
0.83125,5
