time,value
0,12.47595
0.003125,15.44085
0.00625,1.3222
0.009375,7.611129
0.0125,14.49679
0.015625,2.549766
0.01875,7.507829
0.021875,13.56817
0.025,14.6359
0.028125,10.6158
0.03125,20.25714
0.034375,17.63112
0.0375,6.42804
0.040625,14.46019
0.04375,12.90618
0.046875,1.895805
0.05,4.960052
0.053125,3.851109
0.05625,9.659202
0.059375,9.878204
0.0625,13.83871
0.065625,20.11393
0.06875,12.22745
0.071875,12.92613
0.075,9.398953
0.078125,6.868991
0.08125,2.988548
0.084375,21.14746
0.0875,5.225209
0.090625,4.85815
0.09375,10.56552
0.096875,1.542421
0.1,1.971596
0.103125,12.5307
0.10625,4.312924
0.109375,6.579346
0.1125,11.87191
0.115625,6.019054
0.11875,18.65111
0.121875,12.03313
0.125,11.56809
0.128125,15.41517
0.13125,4.574257
0.134375,2.823111
0.1375,8.492717
0.140625,2.353386
0.14375,12.83202
0.146875,12.28554
0.15,5.850064
0.153125,8.172787
0.15625,9.92504
0.159375,2.201333
0.1625,4.231112
0.165625,6.697503
0.16875,15.49068
0.171875,16.06921
0.175,17.53387
0.178125,15.38675
0.18125,5.185751
0.184375,13.37095
0.1875,8.295419
0.190625,18.97824
0.19375,13.87033
0.196875,14.76394
0.2,13.35627
0.203125,9.72361
0.20625,13.27363
0.209375,12.65583
0.2125,3.116429
0.215625,6.815378
0.21875,12.20987
0.221875,13.97247
0.225,15.99835
0.228125,5.696413
0.23125,15.30949
0.234375,12.64675
0.2375,6.908822
0.240625,8.991094
0.24375,13.75581
0.246875,20.47145
0.25,14.44914
0.253125,13.54251
0.25625,18.35746
0.259375,13.43481
0.2625,17.48069
0.265625,7.750948
0.26875,13.29477
0.271875,16.57184
0.275,10.5215
0.278125,10.80753
0.28125,16.81518
0.284375,11.80433
0.2875,7.637135
0.290625,11.61193
0.29375,4.132444
0.296875,13.11586
0.3,5.042091
0.303125,8.055605
0.30625,13.10332
0.309375,15.507
0.3125,14.64537
0.315625,2.368843
0.31875,8.975695
0.321875,12.18461
0.325,8.920552
0.328125,4.813161
0.33125,14.30604
0.334375,12.11309
0.3375,11.57889
0.340625,6.235743
0.34375,17.42113
0.346875,17.84217
0.35,13.65831
0.353125,11.34499
0.35625,17.05931
0.359375,1.453008
0.3625,16.64341
0.365625,8.402819
0.36875,8.901978
0.371875,9.280832
0.375,12.7202
0.378125,9.943016
0.38125,13.94972
0.384375,11.14141
0.3875,8.430982
0.390625,13.8354
0.39375,6.547885
0.396875,17.29721
0.4,9.234623
0.403125,14.27692
0.40625,20.46844
0.409375,9.970722
0.4125,4.023739
0.415625,20.27616
0.41875,10.95419
0.421875,11.65121
0.425,15.77569
0.428125,15.986
0.43125,5.846092
0.434375,14.35398
0.4375,16.78279
0.440625,18.32593
0.44375,15.35484
0.446875,14.1409
0.45,7.718888
0.453125,3.988902
0.45625,17.7833
0.459375,8.596189
0.4625,14.85537
0.465625,8.028675
0.46875,16.26851
0.471875,13.14417
0.475,8.277283
0.478125,19.6242
0.48125,16.74681
0.484375,18.02156
0.4875,11.55059
0.490625,20.05635
0.49375,16.86642
0.496875,17.45581
0.5,12.38063
0.503125,6.628637
0.50625,18.67153
0.509375,15.39611
0.5125,11.44318
0.515625,14.04152
0.51875,4.787152
0.521875,17.02508
0.525,18.78586
0.528125,17.90938
0.53125,19.1436
0.534375,8.862681
0.5375,15.4755
0.540625,19.77199
0.54375,11.96302
0.546875,15.72399
0.55,18.79106
0.553125,18.46694
0.55625,14.00749
0.559375,12.00733
0.5625,11.82972
0.565625,12.11316
0.56875,18.00045
0.571875,14.90933
0.575,20.16295
0.578125,8.066712
0.58125,15.51434
0.584375,11.19036
0.5875,13.65104
0.590625,15.88415
0.59375,15.99266
0.596875,16.22671
0.6,11.45206
0.603125,12.13702
0.60625,15.00727
0.609375,17.05386
0.6125,12.884
0.615625,16.63998
0.61875,6.345498
0.621875,12.88174
0.625,12.63168
0.628125,14.80287
0.63125,8.57799
0.634375,14.16101
0.6375,11.86032
0.640625,19.19251
0.64375,14.34697
0.646875,13.43318
0.65,17.13668
0.653125,15.41267
0.65625,4.870655
0.659375,10.81501
0.6625,12.22219
0.665625,19.58257
0.66875,15.86036
0.671875,15.47732
0.675,11.96417
0.678125,13.27402
0.68125,14.79052
0.684375,14.13165
0.6875,9.819818
0.690625,11.0767
0.69375,19.69982
0.696875,12.31578
0.7,17.59577
0.703125,16.15182
0.70625,14.59044
0.709375,12.76418
0.7125,2.398903
0.715625,20.09829
0.71875,8.878227
0.721875,16.15326
0.725,6.793707
0.728125,12.10448
0.73125,5.896971
0.734375,17.28093
0.7375,18.68547
0.740625,20.16928
0.74375,15.20483
0.746875,18.85078
0.75,13.10263
0.753125,15.17355
0.75625,12.37851
0.759375,11.81958
0.7625,13.75247
0.765625,10.89496
0.76875,15.1176
0.771875,15.24994
0.775,15.3337
0.778125,13.83439
0.78125,14.89058
0.784375,10.75257
0.7875,21.18621
0.790625,12.96076
0.79375,16.59689
0.796875,14.9198
0.8,15.28233
0.803125,10.31934
0.80625,15.15871
0.809375,20.06228
0.8125,18.59253
0.815625,7.644497
0.81875,17.479
0.821875,15.84943
0.825,14.04896
0.828125,4.918342
0.83125,5.169878
