time,value
0,-0.05859712
0.025,0.08695693
0.05,-0.00338865
0.075,0.07085037
0.1,0.1211867
0.125,0.1991511
0.15,0.2124764
0.175,0.1653011
0.2,0.271234
0.225,0.2557123
0.25,0.309116
0.275,0.342607
0.3,0.3371229
0.325,0.3577991
0.35,0.420357
0.375,0.4101826
0.4,0.4451085
0.425,0.4402469
0.45,0.4557581
0.475,0.4570638
0.5,0.4881108
0.525,0.4948353
0.55,0.5106435
0.575,0.5179536
0.6,0.524163
0.625,0.5310246
0.65,0.5505369
0.675,0.5507831
0.7,0.5478402
0.725,0.5553658
0.75,0.5409906
0.775,0.5766273
0.8,0.5834929
0.825,0.6164579
0.85,0.5844759
0.875,0.59739
0.9,0.6096423
0.925,0.5914302
0.95,0.5960336
0.975,0.5856633
