time,value
0,0.7511467
0.025,0.5671305
0.05,0.5672959
0.075,0.5145485
0.1,0.5226018
0.125,0.4300312
0.15,0.4690107
0.175,0.4088655
0.2,0.6346256
0.225,0.483739
0.25,0.3961114
0.275,0.4218619
0.3,0.3646656
0.325,0.4468376
0.35,0.3361701
0.375,0.451153
0.4,0.3082363
0.425,0.3077243
0.45,0.3483942
0.475,0.2933804
0.5,0.3240989
0.525,0.4967596
0.55,0.3370368
0.575,0.366661
0.6,0.266782
0.625,0.3345251
0.65,0.321766
0.675,0.2992813
0.7,0.3072782
0.725,0.2516972
0.75,0.2301981
0.775,0.3515274
0.8,0.231455
0.825,0.2464566
0.85,0.2674465
0.875,0.3879063
0.9,0.217673
0.925,0.3941912
0.95,0.2217522
0.975,0.432699
