time,value
0,-0.2938836
0.0001953125,0.01552671
0.000390625,0.01105452
0.0005859375,-0.8591788
0.00078125,0.6674795
0.0009765625,0.5327928
0.001171875,-0.6127445
0.001367187,0.7876056
0.0015625,0.4042107
0.001757813,0.7380766
0.001953125,0.09757006
0.002148438,0.5346139
0.00234375,0.5708687
0.002539063,0.8253888
0.002734375,0.6384733
0.002929688,-0.4281918
0.003125,-0.7759249
0.003320313,0.8533555
0.003515625,-0.07089341
0.003710937,-0.3411721
0.00390625,0.9531851
0.004101563,0.9995247
0.004296875,-0.2603768
0.004492187,0.9834326
0.0046875,0.2093764
0.004882813,0.9524546
0.005078125,-1.252406
0.005273438,0.8093617
0.00546875,0.3269488
0.005664063,-0.5692533
0.005859375,-0.8184416
0.006054688,0.9920147
0.00625,0.9809276
0.006445312,-0.02980924
0.006640625,0.7049382
0.006835938,0.882883
0.00703125,0.6825268
0.007226563,-0.2381732
0.007421875,-0.5911152
0.007617188,0.07769781
0.0078125,0.6130601
0.008007812,0.8306045
0.008203126,0.8317524
0.008398438,0.2448156
0.00859375,0.3301769
0.008789063,0.2278106
0.008984375,0.9569801
0.009179688,0.9342914
0.009375,0.995106
0.009570313,0.4277139
0.009765625,0.6285703
0.009960937,0.4248509
0.01015625,0.3755657
0.01035156,0.7698175
0.01054688,0.3893003
0.01074219,-0.1023525
0.0109375,0.9901533
0.01113281,0.9177279
0.01132813,0.418194
0.01152344,0.4646804
0.01171875,0.2181931
0.01191406,-0.7146684
0.01210938,0.8949043
0.01230469,-0.3324065
0.0125,0.8653444
0.01269531,-0.1118202
0.01289062,-0.7513291
0.01308594,0.9440706
0.01328125,0.9097385
0.01347656,0.4745185
0.01367188,0.2031785
0.01386719,0.8793654
0.0140625,0.6715658
0.01425781,-0.06849635
0.01445313,0.9820883
0.01464844,-0.8985868
0.01484375,0.4425011
0.01503906,-0.4709753
0.01523438,0.9664873
0.01542969,0.6899368
0.015625,-0.04065371
0.01582031,-1.204625
0.01601562,0.2280563
0.01621094,0.9814699
0.01640625,-0.3016553
0.01660156,-0.9272679
0.01679688,0.4547759
0.01699219,0.6049438
0.0171875,0.1636065
0.01738281,0.6399044
0.01757813,-0.09251034
0.01777344,-0.5019126
0.01796875,-0.06505179
0.01816406,0.2134639
0.01835938,0.003618538
0.01855469,-0.1904398
0.01875,0.3719307
0.01894531,0.8728253
0.01914063,0.9305872
0.01933594,0.568505
0.01953125,-0.2473273
0.01972656,0.1900511
0.01992187,0.9627437
0.02011719,0.7394226
0.0203125,0.7911966
0.02050781,0.2774502
0.02070313,-0.7615091
0.02089844,-0.5725622
0.02109375,0.5731323
0.02128906,0.9503173
0.02148438,0.6440913
0.02167969,0.718535
0.021875,0.8443345
0.02207031,0.5789934
0.02226563,0.6021389
0.02246094,0.8040264
0.02265625,0.8482884
0.02285156,0.7025883
0.02304688,0.6491733
0.02324219,-1.400348
0.0234375,0.7371527
0.02363281,0.9521051
0.02382812,0.6626452
0.02402344,0.2532746
0.02421875,0.8192707
0.02441406,0.7474158
0.02460938,0.6865892
0.02480469,0.7816872
0.025,0.3444354
0.02519531,0.2484978
0.02539063,-0.9136887
0.02558594,0.2484176
0.02578125,0.7415479
0.02597656,-0.5787286
0.02617188,0.8528273
0.02636719,0.9265691
0.0265625,-0.01103771
0.02675781,-0.01800394
0.02695313,-0.1539538
0.02714844,0.9800261
0.02734375,0.07698196
0.02753906,0.6699228
0.02773437,0.9948303
0.02792969,0.4749991
0.028125,0.13708
0.02832031,0.001173496
0.02851563,0.1975963
0.02871094,0.9340112
0.02890625,0.182602
0.02910156,0.1539527
0.02929688,0.8746871
0.02949219,0.3618805
0.0296875,0.8336557
0.02988281,0.9017372
0.03007813,0.9396356
0.03027344,0.8797649
0.03046875,-0.2353859
0.03066406,-1.495825
0.03085938,0.8392675
0.03105469,-0.5227476
0.03125,-0.1088984
0.03144531,0.8441727
0.03164063,0.960663
0.03183594,-0.3792585
0.03203125,0.5218126
0.03222656,0.1716045
0.03242188,0.5509822
0.03261719,0.077389
0.0328125,0.9244387
0.03300781,0.2914729
0.03320313,-0.7195796
0.03339844,0.3124319
0.03359375,-0.4191153
0.03378906,-0.1418457
0.03398437,0.9874681
0.03417969,-0.4457093
0.034375,0.6511351
0.03457031,0.7061607
0.03476563,0.5905153
0.03496094,-0.0449276
0.03515625,0.654374
0.03535156,0.2723323
0.03554688,0.4730088
0.03574219,0.8850813
0.0359375,0.9663013
0.03613281,0.520488
0.03632813,0.688076
0.03652344,0.9624304
0.03671875,0.6135476
0.03691406,-0.7002374
0.03710938,0.9050489
0.03730469,0.3863742
0.0375,0.8187949
0.03769531,0.396351
0.03789062,-0.108029
0.03808594,0.5157961
0.03828125,0.5201693
0.03847656,-0.2499774
0.03867188,0.7313352
0.03886719,0.03634411
0.0390625,0.8964803
0.03925781,0.6212831
0.03945313,0.780027
0.03964844,0.5558583
0.03984375,0.8963041
0.04003906,0.9224693
0.04023438,-0.1181344
0.04042969,0.2284927
0.040625,0.4149677
0.04082031,0.937276
0.04101563,0.2191855
0.04121094,0.3451021
0.04140625,-0.7354201
0.04160156,-1.113153
0.04179687,0.4519402
0.04199219,-0.5864865
0.0421875,0.1641845
0.04238281,-1.779245
0.04257813,-0.1607569
0.04277344,0.6588406
0.04296875,-0.07613039
0.04316406,0.07720238
0.04335938,0.2506248
0.04355469,-0.2851694
0.04375,0.9832243
0.04394531,0.1500077
0.04414063,0.3835477
0.04433594,0.1586624
0.04453125,0.6528506
0.04472656,0.9914064
0.04492188,-0.3826635
0.04511719,0.8653988
0.0453125,0.5626382
0.04550781,0.3974966
0.04570312,-1.111069
0.04589844,0.930871
0.04609375,0.9172764
0.04628906,-1.542994
0.04648438,0.5448635
0.04667969,0.8269337
0.046875,0.63855
0.04707031,0.9350746
0.04726563,-0.6672134
0.04746094,0.9364427
0.04765625,-0.9777876
0.04785156,0.9743468
0.04804688,-0.6100565
0.04824219,0.9531025
0.0484375,0.9432611
0.04863281,-0.8523152
0.04882813,0.9808773
0.04902344,0.3544098
0.04921875,0.5067401
0.04941406,0.5360274
0.04960937,0.6301876
0.04980469,0.3598219
0.05,0.2410864
0.05019531,-1.518662
0.05039063,0.3716272
0.05058594,0.6593548
0.05078125,0.5574808
0.05097656,0.87749
0.05117188,0.57095
0.05136719,0.9065068
0.0515625,0.7953747
0.05175781,0.06434685
0.05195313,0.9818949
0.05214844,0.5446954
0.05234375,-0.8090698
0.05253906,-0.1222048
0.05273438,0.9435735
0.05292969,-0.07616341
0.053125,0.4137984
0.05332031,-1.283198
0.05351562,0.5183653
0.05371094,0.7757199
0.05390625,-1.661012
0.05410156,0.8904771
0.05429688,0.6551797
0.05449219,0.2737681
0.0546875,0.8074164
0.05488281,-0.1826714
0.05507813,0.9755089
0.05527344,0.9112151
0.05546875,0.5463715
0.05566406,0.7308744
0.05585938,0.2840339
0.05605469,0.2705592
0.05625,-0.0998168
0.05644531,-0.7435315
0.05664063,-1.030071
0.05683594,0.07452995
0.05703125,0.4898673
0.05722656,0.1607975
0.05742187,0.7171126
0.05761719,0.3591018
0.0578125,0.3257051
0.05800781,0.9914679
0.05820313,0.8729228
0.05839844,0.9261092
0.05859375,0.7611569
0.05878906,-0.06525385
0.05898438,0.7895584
0.05917969,-0.6640444
0.059375,-0.248572
0.05957031,0.01694328
0.05976563,0.8402494
0.05996094,0.777586
0.06015625,0.02054983
0.06035156,0.9599642
0.06054688,0.6244169
0.06074219,-0.09774637
0.0609375,0.3034086
0.06113281,0.4872272
0.06132812,0.724408
0.06152344,0.8603406
0.06171875,0.06696266
0.06191406,0.404537
0.06210938,0.8694541
0.06230469,-0.05371082
0.0625,0.4254956
0.06269532,0.4446719
0.06289063,-0.1854621
0.06308594,0.9705419
0.06328125,0.7219045
0.06347656,0.3516701
0.06367188,-0.003080606
0.06386719,0.9627973
0.0640625,0.6156796
0.06425782,0.9163406
0.06445313,0.9403324
0.06464844,0.3901408
0.06484375,0.8790771
0.06503906,0.513232
0.06523438,-0.8242459
0.06542969,-0.03481543
0.065625,0.2091392
0.06582031,0.6354115
0.06601562,-0.02763236
0.06621094,-0.05367386
0.06640625,0.8737785
0.06660157,0.3668659
0.06679688,0.8923978
0.06699219,-0.9523175
0.0671875,0.692813
0.06738281,-0.02904534
0.06757813,0.03991777
0.06777344,0.8803231
0.06796875,0.6153843
0.06816407,-0.2056526
0.06835938,0.9660727
0.06855469,0.6233405
0.06875,0.7527066
0.06894531,0.9593564
0.06914063,0.837712
0.06933594,0.922738
0.06953125,0.4609478
0.06972656,0.8157403
0.06992187,0.4658693
0.07011719,-0.660996
0.0703125,-0.2283025
0.07050782,0.4674264
0.07070313,-0.7235163
0.07089844,0.3968831
0.07109375,0.7832276
0.07128906,0.8294253
0.07148438,0.6363998
0.07167969,0.7389847
0.071875,-0.3006018
0.07207032,0.9326926
0.07226563,0.4634743
0.07246094,0.7215759
0.07265625,-0.1131852
0.07285156,-0.1605
0.07304688,0.7938767
0.07324219,0.8156888
0.0734375,0.4564051
0.07363281,-0.9562918
0.07382812,0.9588706
0.07402344,0.1358246
0.07421875,0.7617841
0.07441407,-1.162011
0.07460938,0.9488567
0.07480469,0.7768031
0.075,0.2949808
0.07519531,0.5246987
0.07539063,0.9992435
0.07558594,0.7067189
0.07578125,0.08998817
0.07597657,0.6860106
0.07617188,0.6804892
0.07636719,0.7264542
0.0765625,0.6397445
0.07675781,0.5150363
0.07695313,0.4322252
0.07714844,0.6342413
0.07734375,0.6181109
0.07753906,0.3830982
0.07773437,0.1041019
0.07792969,0.296153
0.078125,-0.3380945
0.07832032,0.2122876
0.07851563,0.4537053
0.07871094,0.8214374
0.07890625,-0.695852
0.07910156,0.6240457
0.07929688,0.8525544
0.07949219,0.7416908
0.0796875,-0.07616878
0.07988282,0.869205
0.08007813,0.8904828
0.08027344,0.9807656
0.08046875,-0.1325305
0.08066406,-0.3542541
0.08085938,0.1915949
0.08105469,0.9687491
0.08125,0.2225984
0.08144531,-0.1431681
0.08164062,0.4689595
0.08183594,0.9634192
0.08203125,0.5615616
0.08222657,-0.1106915
0.08242188,0.6393909
0.08261719,0.6224563
0.0828125,0.9345192
0.08300781,0.8590642
0.08320313,0.1515971
0.08339844,0.7506018
0.08359375,-0.1468707
0.08378907,0.4173011
0.08398438,0.3509232
0.08417969,0.9358945
0.084375,-1.081425
0.08457031,0.9548038
0.08476563,0.6719997
0.08496094,0.5883868
0.08515625,-1.213755
0.08535156,0.7534374
0.08554687,0.8338761
0.08574219,0.9463179
0.0859375,0.6676936
0.08613282,0.4754248
0.08632813,0.5944355
0.08652344,0.9322754
0.08671875,0.3051829
0.08691406,-0.2022059
0.08710938,0.9933624
0.08730469,-0.6184663
0.0875,0.8457653
0.08769532,0.4179132
0.08789063,-0.02329755
0.08808594,0.794403
0.08828125,-0.8540274
0.08847656,-0.4064434
0.08867188,-0.7200232
0.08886719,0.8374465
0.0890625,0.4153948
0.08925781,-1.164666
0.08945312,0.2754186
0.08964844,0.9860563
0.08984375,-0.3422726
0.09003907,0.8406021
0.09023438,0.7143968
0.09042969,-0.08483255
0.090625,0.8065809
0.09082031,-0.1218766
0.09101563,0.1289546
0.09121094,-0.03539574
0.09140625,-0.4533073
0.09160157,0.7752628
0.09179688,-0.602814
0.09199219,0.7388868
0.0921875,0.09510547
0.09238281,0.4571976
0.09257813,0.4039366
0.09277344,0.9305664
0.09296875,0.8848889
0.09316406,-0.5781823
