time,value
0,0.1440048
0.0125,0.3555382
0.025,0.4822177
0.0375,0.5271394
0.05,0.5638547
0.0625,0.5985016
0.075,0.6092226
0.0875,0.6040415
0.1,0.6198094
0.1125,0.6111537
0.125,0.6017308
0.1375,0.582557
0.15,0.5712817
0.1625,0.5881788
0.175,0.6073689
0.1875,0.6198421
0.2,0.6250729
0.2125,0.610435
0.225,0.5877815
0.2375,0.5797946
0.25,0.5892578
0.2625,0.5970082
0.275,0.6004469
0.2875,0.5957256
0.3,0.6050324
0.3125,0.6023591
0.325,0.6210588
0.3375,0.6086478
0.35,0.598302
0.3625,0.5823374
0.375,0.5923176
0.3875,0.619597
0.4,0.6182874
0.4125,0.6104552
0.425,0.6323205
0.4375,0.6285489
0.45,0.6302011
0.4625,0.6326982
0.475,0.6510898
0.4875,0.655001
0.5,0.6382142
0.5125,0.6568599
