time,value
0,0.4639516
0.0125,0.3586374
0.025,0.3545131
0.0375,0.3843549
0.05,0.3011222
0.0625,0.3153259
0.075,0.308293
0.0875,0.2682423
0.1,0.3103098
0.1125,0.3226772
0.125,0.3257063
0.1375,0.3057835
0.15,0.2854135
0.1625,0.3341549
0.175,0.2943793
0.1875,0.3063526
0.2,0.3065058
0.2125,0.2989863
0.225,0.320153
0.2375,0.3097304
0.25,0.3140857
0.2625,0.317569
0.275,0.3132014
0.2875,0.250247
0.3,0.2943265
0.3125,0.2720869
0.325,0.3429242
0.3375,0.3166802
0.35,0.2701467
0.3625,0.2745618
0.375,0.2372252
0.3875,0.2802379
0.4,0.2861831
0.4125,0.274482
0.425,0.209885
0.4375,0.2614119
0.45,0.2101656
0.4625,0.1929686
0.475,0.2124523
0.4875,0.2203537
0.5,0.1867033
0.5125,0.1898173
