time,value
0,0
0.0001953125,1
0.000390625,1
0.0005859375,1
0.00078125,1
0.0009765625,1
0.001171875,1
0.001367187,1
0.0015625,1
0.001757813,1
0.001953125,1
0.002148438,1
0.00234375,1
0.002539063,1
0.002734375,1
0.002929688,1
0.003125,1
0.003320313,1
0.003515625,1
0.003710937,1
0.00390625,1
0.004101563,1
0.004296875,1
0.004492187,1
0.0046875,1
0.004882813,1
0.005078125,1
0.005273438,1
0.00546875,1
0.005664063,1
0.005859375,1
0.006054688,1
0.00625,1
0.006445312,1
0.006640625,1
0.006835938,1
0.00703125,1
0.007226563,1
0.007421875,1
0.007617188,1
0.0078125,1
0.008007812,1
0.008203126,1
0.008398438,1
0.00859375,1
0.008789063,1
0.008984375,1
0.009179688,1
0.009375,1
0.009570313,1
0.009765625,1
0.009960937,1
0.01015625,1
0.01035156,1
0.01054688,1
0.01074219,1
0.0109375,1
0.01113281,1
0.01132813,1
0.01152344,1
0.01171875,1
0.01191406,1
0.01210938,1
0.01230469,1
0.0125,1
0.01269531,1
0.01289062,1
0.01308594,1
0.01328125,1
0.01347656,1
0.01367188,1
0.01386719,1
0.0140625,1
0.01425781,1
0.01445313,1
0.01464844,1
0.01484375,1
0.01503906,1
0.01523438,1
0.01542969,1
0.015625,1
0.01582031,1
0.01601562,1
0.01621094,1
0.01640625,1
0.01660156,1
0.01679688,1
0.01699219,1
0.0171875,1
0.01738281,1
0.01757813,1
0.01777344,1
0.01796875,1
0.01816406,1
0.01835938,1
0.01855469,1
0.01875,1
0.01894531,1
0.01914063,1
0.01933594,1
0.01953125,1
0.01972656,1
0.01992187,1
0.02011719,1
0.0203125,1
0.02050781,1
0.02070313,1
0.02089844,1
0.02109375,1
0.02128906,1
0.02148438,1
0.02167969,1
0.021875,1
0.02207031,1
0.02226563,1
0.02246094,1
0.02265625,1
0.02285156,1
0.02304688,1
0.02324219,1
0.0234375,1
0.02363281,1
0.02382812,1
0.02402344,1
0.02421875,1
0.02441406,1
0.02460938,1
0.02480469,1
0.025,1
