time,value
0,0.5286714
0.0001953125,-0.2469269
0.000390625,0.4411018
0.0005859375,0.02635318
0.00078125,-1.858444
0.0009765625,-1.133669
0.001171875,0.3769788
0.001367187,0.6535574
0.0015625,0.05281419
0.001757813,0.07433844
0.001953125,0.8222696
0.002148438,-0.9477837
0.00234375,-1.262716
0.002539063,0.9959694
0.002734375,0.8710084
0.002929688,-0.2178904
0.003125,0.8459808
0.003320313,0.7951355
0.003515625,0.02336359
0.003710937,0.7682766
0.00390625,0.3461256
0.004101563,-0.08908904
0.004296875,0.5524625
0.004492187,0.727863
0.0046875,0.8055053
0.004882813,0.9169636
0.005078125,0.7813706
0.005273438,0.3125759
0.00546875,0.6476017
0.005664063,-0.08415246
0.005859375,0.9514672
0.006054688,-1.558089
0.00625,0.5047617
0.006445312,-0.7377656
0.006640625,0.2547379
0.006835938,0.9825937
0.00703125,0.9758755
0.007226563,0.9314579
0.007421875,0.8742266
0.007617188,0.7617632
0.0078125,-0.4847205
0.008007812,-0.06096983
0.008203126,0.7095063
0.008398438,-1.339837
0.00859375,0.1362793
0.008789063,0.9917186
0.008984375,-0.2091681
0.009179688,0.932843
0.009375,0.851593
0.009570313,0.591824
0.009765625,0.7566128
0.009960937,0.08088934
0.01015625,0.931935
0.01035156,0.3738659
0.01054688,-0.1568081
0.01074219,0.7098814
0.0109375,-0.06598055
0.01113281,0.359697
0.01132813,0.9773346
0.01152344,0.8824697
0.01171875,-0.6685787
0.01191406,0.7837258
0.01210938,-0.4175681
0.01230469,0.593572
0.0125,-0.3227947
0.01269531,0.424157
0.01289062,0.8592812
0.01308594,0.4202506
0.01328125,0.6507136
0.01347656,0.5851668
0.01367188,0.5021894
0.01386719,0.1272006
0.0140625,0.6788007
0.01425781,0.6825736
0.01445313,0.1221077
0.01464844,0.6801438
0.01484375,-0.5367827
0.01503906,-0.02655673
0.01523438,0.9631048
0.01542969,0.1966967
0.015625,-0.4455414
0.01582031,0.7501128
0.01601562,0.7635927
0.01621094,0.2141142
0.01640625,0.712333
0.01660156,-0.525857
0.01679688,0.5057759
0.01699219,-0.3263485
0.0171875,0.3458778
0.01738281,-0.178597
0.01757813,0.8473184
0.01777344,0.93627
0.01796875,0.380038
0.01816406,0.1201056
0.01835938,0.9958346
0.01855469,0.8928266
0.01875,0.1887915
0.01894531,0.6467535
0.01914063,0.7923018
0.01933594,-0.539037
0.01953125,0.02413034
0.01972656,0.2354526
0.01992187,-0.5718489
0.02011719,0.7637422
0.0203125,0.596413
0.02050781,0.7438956
0.02070313,0.8081808
0.02089844,-0.2357564
0.02109375,0.8042269
0.02128906,0.4781241
0.02148438,0.4846143
0.02167969,-0.4906143
0.021875,-0.5701834
0.02207031,0.4073362
0.02226563,-0.08896375
0.02246094,-0.2910588
0.02265625,0.1586058
0.02285156,0.5270456
0.02304688,0.2947165
0.02324219,-0.469416
0.0234375,0.6873647
0.02363281,0.3437937
0.02382812,0.1963816
0.02402344,0.1775308
0.02421875,-0.2464701
0.02441406,0.9813277
0.02460938,-1.008996
0.02480469,0.2119598
0.025,0.3226527
0.02519531,0.8826845
0.02539063,0.3446117
0.02558594,0.7976009
0.02578125,0.70243
0.02597656,-0.3507174
0.02617188,0.7861882
0.02636719,0.5335431
0.0265625,0.9882284
0.02675781,0.5064092
0.02695313,-1.325772
0.02714844,-0.1982099
0.02734375,0.8635259
0.02753906,0.0993731
0.02773437,0.5669986
0.02792969,0.8797456
0.028125,0.3641002
0.02832031,-0.9374874
0.02851563,0.3571469
0.02871094,0.8445183
0.02890625,0.7206306
0.02910156,0.499025
0.02929688,0.01259291
0.02949219,-0.6770308
0.0296875,0.8483806
0.02988281,0.4059773
0.03007813,0.9138815
0.03027344,0.8804688
0.03046875,0.6766828
0.03066406,0.6180262
0.03085938,0.7227871
0.03105469,0.6565161
0.03125,0.1401834
0.03144531,0.9718757
0.03164063,-0.1762372
0.03183594,0.7497034
0.03203125,0.3420503
0.03222656,0.9073003
0.03242188,0.3126901
0.03261719,0.8009149
0.0328125,0.3282997
0.03300781,0.9506254
0.03320313,-1.329875
0.03339844,0.8307102
0.03359375,-0.3286448
0.03378906,0.3237161
0.03398437,-0.3311024
0.03417969,0.8256819
0.034375,-0.5276147
0.03457031,0.6017325
0.03476563,0.2831894
0.03496094,0.8284936
0.03515625,0.799644
0.03535156,0.07107115
0.03554688,0.3605401
0.03574219,0.6415673
0.0359375,-0.02065992
0.03613281,0.8245398
0.03632813,0.3486595
0.03652344,0.6147401
0.03671875,0.02503073
0.03691406,0.9139922
0.03710938,0.6199281
0.03730469,0.8080065
0.0375,0.9461557
0.03769531,0.6432948
0.03789062,0.8196268
0.03808594,0.9564254
0.03828125,-0.4713042
0.03847656,0.8912902
0.03867188,0.793322
0.03886719,0.7726075
0.0390625,0.03479546
0.03925781,-0.1038431
0.03945313,0.9476584
0.03964844,0.4752951
0.03984375,-1.022417
0.04003906,-0.2499446
0.04023438,0.7258952
0.04042969,0.179811
0.040625,0.9778508
0.04082031,0.4931453
0.04101563,0.9974617
0.04121094,0.2190911
0.04140625,0.4108838
0.04160156,0.699385
0.04179687,-0.4330865
0.04199219,0.2005505
0.0421875,0.574554
0.04238281,-0.3391268
0.04257813,-0.4496396
0.04277344,0.4587889
0.04296875,-0.6087018
0.04316406,-0.3498049
0.04335938,-0.8678192
0.04355469,0.9677523
0.04375,-0.7813964
0.04394531,0.8526447
0.04414063,-0.1186166
0.04433594,0.3710112
0.04453125,0.3592893
0.04472656,-0.0938729
0.04492188,0.5556231
0.04511719,0.9820195
0.0453125,0.1229459
0.04550781,0.8027425
0.04570312,0.8967039
0.04589844,-0.05946708
0.04609375,-0.6289388
0.04628906,0.8779319
0.04648438,0.7296048
0.04667969,-0.5019429
0.046875,0.6267359
0.04707031,0.8210813
0.04726563,0.8458623
0.04746094,-0.5142937
0.04765625,-0.3767041
0.04785156,-0.5773435
0.04804688,0.7079518
0.04824219,0.573483
0.0484375,-0.382758
0.04863281,-1.162021
0.04882813,0.5937216
0.04902344,0.5155452
0.04921875,-0.1124362
0.04941406,-0.2429399
0.04960937,0.499823
0.04980469,0.5567113
0.05,0.250868
0.05019531,0.6899174
0.05039063,0.8011307
0.05058594,0.9073528
0.05078125,-0.07905066
0.05097656,0.9407989
0.05117188,0.8746001
0.05136719,0.5257039
0.0515625,0.2319851
0.05175781,0.5875884
0.05195313,-0.3671925
0.05214844,0.6760759
0.05234375,0.8259829
0.05253906,0.9997317
0.05273438,-0.1796849
0.05292969,0.3709756
0.053125,-0.30059
0.05332031,0.9379676
0.05351562,0.337807
0.05371094,-0.853344
0.05390625,0.4344639
0.05410156,-0.2859805
0.05429688,0.7331592
0.05449219,0.9777476
0.0546875,-0.4799111
0.05488281,-0.3636895
0.05507813,-0.2745715
0.05527344,-0.01554072
0.05546875,0.1913922
0.05566406,0.9564578
0.05585938,0.9071035
0.05605469,-0.2542864
0.05625,0.9218814
0.05644531,0.9540439
0.05664063,-0.3121969
0.05683594,-0.1195868
0.05703125,0.5264441
0.05722656,0.7368076
0.05742187,0.1484993
0.05761719,0.9679028
0.0578125,-1.159203
0.05800781,-0.07421279
0.05820313,0.4478317
0.05839844,0.4744678
0.05859375,-0.6451143
0.05878906,-0.7543482
0.05898438,0.5938247
0.05917969,-0.09463108
0.059375,0.1289842
0.05957031,0.8909615
0.05976563,0.4033293
0.05996094,-0.2823262
0.06015625,0.1301827
0.06035156,-0.4064498
0.06054688,0.773294
0.06074219,0.5621009
0.0609375,-0.4449286
0.06113281,-0.4155778
0.06132812,0.7092323
0.06152344,0.4010826
0.06171875,0.7227794
0.06191406,0.1820502
0.06210938,0.9482383
0.06230469,0.340057
0.0625,0.7586408
0.06269532,0.7984027
0.06289063,-0.9055043
0.06308594,0.8951309
0.06328125,-0.516072
0.06347656,0.1667629
0.06367188,0.8580606
0.06386719,0.6156936
0.0640625,-0.1488358
0.06425782,0.8600718
0.06445313,0.6742523
0.06464844,0.570549
0.06484375,-0.1019893
0.06503906,0.3460541
0.06523438,0.6316599
0.06542969,0.4326401
0.065625,0.2379258
0.06582031,0.8288674
0.06601562,0.734526
0.06621094,0.5950371
0.06640625,0.5172242
0.06660157,0.519405
0.06679688,0.730694
0.06699219,0.852101
0.0671875,0.417121
0.06738281,-0.1771232
0.06757813,0.994452
0.06777344,0.3859485
0.06796875,-0.02424145
0.06816407,0.3996461
0.06835938,-0.008878231
0.06855469,-0.4765432
0.06875,0.6785239
0.06894531,0.5913197
0.06914063,0.9969715
0.06933594,0.1571307
0.06953125,0.5350174
0.06972656,-0.7328784
0.06992187,-0.2516319
0.07011719,-0.6617548
0.0703125,-1.479605
0.07050782,0.8759039
0.07070313,-0.6150093
0.07089844,0.2733644
0.07109375,0.163185
0.07128906,0.8028497
0.07148438,0.5452443
0.07167969,-1.595691
0.071875,0.6360291
0.07207032,-1.168493
0.07226563,0.08478391
0.07246094,0.7468904
0.07265625,0.8170663
0.07285156,0.970558
0.07304688,0.6831579
0.07324219,0.7721239
0.0734375,-1.503175
0.07363281,0.01219469
0.07382812,-0.003652096
0.07402344,0.4726999
0.07421875,0.7601464
0.07441407,-0.6121076
0.07460938,0.2019123
0.07480469,0.7546836
0.075,0.05728132
0.07519531,0.6033614
0.07539063,0.4967653
0.07558594,0.5649717
0.07578125,0.796558
0.07597657,0.865178
0.07617188,0.4320953
0.07636719,-0.08740318
0.0765625,0.005933881
0.07675781,-0.06486523
0.07695313,0.507345
0.07714844,0.9592307
0.07734375,0.9322851
0.07753906,0.9653637
0.07773437,0.7632791
0.07792969,-0.2876965
0.078125,0.9379686
0.07832032,-0.1789682
0.07851563,0.561146
0.07871094,0.8225577
0.07890625,0.7533975
0.07910156,0.7994806
0.07929688,0.2653396
0.07949219,0.7040793
0.0796875,-0.1272639
0.07988282,0.991356
0.08007813,0.9135705
0.08027344,0.4073864
0.08046875,0.5990337
0.08066406,0.8948193
0.08085938,-0.379699
0.08105469,0.8647853
0.08125,0.7675867
0.08144531,0.6851978
0.08164062,0.2252455
0.08183594,-0.6668652
0.08203125,0.405721
0.08222657,-0.2636114
0.08242188,0.4203004
0.08261719,0.05093342
0.0828125,0.9597172
0.08300781,-0.8710657
0.08320313,0.4764634
0.08339844,-0.425579
0.08359375,0.705933
0.08378907,0.3682103
0.08398438,-0.7279714
0.08417969,0.6457793
0.084375,0.2969912
0.08457031,0.126433
0.08476563,-0.1241318
0.08496094,0.4324437
0.08515625,0.5928991
0.08535156,-1.264776
0.08554687,0.8814873
0.08574219,-0.280826
0.0859375,0.9610769
0.08613282,0.07662356
0.08632813,0.8606327
0.08652344,0.9554999
0.08671875,-0.0936507
0.08691406,0.6521267
0.08710938,0.8718675
0.08730469,0.8168073
0.0875,0.6742868
0.08769532,0.005641878
0.08789063,0.9885973
0.08808594,-0.4900154
0.08828125,0.9272954
0.08847656,0.9023867
0.08867188,0.542835
0.08886719,0.2749209
0.0890625,0.5476447
0.08925781,0.9219478
0.08945312,0.9740188
0.08964844,0.8572012
0.08984375,0.9643263
0.09003907,0.9548057
0.09023438,0.3162268
0.09042969,0.4502314
0.090625,-1.729462
0.09082031,-0.5886917
0.09101563,-0.5358638
0.09121094,0.7095728
0.09140625,-1.200984
0.09160157,-0.04609632
0.09179688,0.8587883
0.09199219,-0.00351572
0.0921875,0.5886068
0.09238281,0.6589425
0.09257813,-0.6603215
0.09277344,-0.6490136
0.09296875,0.5774243
0.09316406,0.5612397
0.09335937,0.1732709
0.09355469,0.6510763
0.09375,0.6592332
0.09394532,0.2785833
0.09414063,0.6024851
0.09433594,-1.567999
0.09453125,-0.04730761
0.09472656,0.6394599
0.09492188,0.965988
0.09511719,-0.6440523
0.0953125,0.7740379
0.09550782,0.3897066
0.09570313,0.6948099
0.09589844,-0.1054337
0.09609375,0.5031171
0.09628906,-1.331903
0.09648438,0.6403071
0.09667969,0.3680837
0.096875,0.7071159
0.09707031,0.4890417
0.09726562,0.9498733
0.09746094,0.3639591
0.09765625,-0.5995815
0.09785157,0.03901237
0.09804688,0.3494719
0.09824219,0.5832953
0.0984375,0.8753756
0.09863281,0.4452854
0.09882813,0.8978366
0.09902344,-0.7136409
0.09921875,0.04068375
0.09941407,0.8829791
0.09960938,-0.481328
0.09980469,-0.6075162
0.1,-0.5826664
0.1001953,0.6093954
0.1003906,0.7452406
0.1005859,0.7014105
0.1007813,-1.24105
0.1009766,0.8505874
0.1011719,0.6752602
0.1013672,0.9225457
0.1015625,0.3097312
0.1017578,0.04548931
0.1019531,0.3027869
0.1021484,0.943004
0.1023438,-0.2474751
0.1025391,-0.3200642
0.1027344,0.6639894
0.1029297,0.4241928
0.103125,0.8991519
0.1033203,-0.9946485
0.1035156,0.5302787
0.1037109,0.04313904
0.1039063,0.7697111
0.1041016,0.5547786
0.1042969,-0.5018842
0.1044922,0.3339141
0.1046875,0.8587856
0.1048828,-0.429601
0.1050781,0.8978887
0.1052734,0.7254279
0.1054688,-1.019475
0.1056641,-0.05159938
0.1058594,-0.1535574
0.1060547,-0.1608146
0.10625,-0.01178229
0.1064453,0.9680175
0.1066406,0.6536103
0.1068359,0.6543791
0.1070312,0.4623773
0.1072266,0.7141246
0.1074219,-0.5383599
0.1076172,0.8867882
0.1078125,0.9832914
0.1080078,0.9217641
0.1082031,-1.431214
0.1083984,0.9629868
0.1085938,-0.4343239
0.1087891,0.5127316
0.1089844,0.9703607
0.1091797,0.8602598
0.109375,0.6564844
0.1095703,-0.8074303
0.1097656,0.3438805
0.1099609,0.2648861
0.1101563,0.854267
0.1103516,-0.5268369
0.1105469,0.566133
0.1107422,0.6981777
0.1109375,0.4564307
0.1111328,0.371921
0.1113281,0.1230081
0.1115234,-0.3570504
0.1117188,0.9656294
0.1119141,-1.799654
0.1121094,0.92861
0.1123047,0.8930624
0.1125,0.7848918
0.1126953,0.9770738
0.1128906,0.7540098
0.1130859,0.2281932
0.1132813,0.7389838
0.1134766,0.7656299
0.1136719,0.9585239
0.1138672,-0.5488441
0.1140625,-1.220085
0.1142578,0.8931351
0.1144531,0.3121771
0.1146484,0.5566385
0.1148437,0.04037046
0.1150391,0.4247219
