time,value
0,-0.007299501
0.000390625,0.05728245
0.00078125,0.0924503
0.001171875,0.151183
0.0015625,0.1786771
0.001953125,0.1849662
0.00234375,0.1963477
0.002734375,0.254097
0.003125,0.2285833
0.003515625,0.2962604
0.00390625,0.3170083
0.004296875,0.3227439
0.0046875,0.3546643
0.005078125,0.3697055
0.00546875,0.4031437
0.005859375,0.406541
0.00625,0.3881886
0.006640625,0.4447987
0.00703125,0.4731154
0.007421875,0.4604409
0.0078125,0.5000104
0.008203126,0.4445663
0.00859375,0.4867347
0.008984375,0.4950919
0.009375,0.4822855
0.009765625,0.5044761
0.01015625,0.5180667
0.01054688,0.5076455
0.0109375,0.5351107
0.01132813,0.5523014
0.01171875,0.5069281
0.01210938,0.5576939
0.0125,0.5578864
0.01289062,0.5979148
0.01328125,0.5765528
0.01367188,0.5760663
0.0140625,0.5773765
0.01445313,0.5752053
0.01484375,0.5831321
0.01523438,0.5930577
0.015625,0.5859463
0.01601562,0.6169037
0.01640625,0.599727
0.01679688,0.6230742
0.0171875,0.6314046
0.01757813,0.6244879
0.01796875,0.608856
0.01835938,0.6273177
0.01875,0.6254366
0.01914063,0.6403555
0.01953125,0.613874
0.01992187,0.6393372
0.0203125,0.6194582
0.02070313,0.6242526
0.02109375,0.6235152
0.02148438,0.6294877
0.021875,0.6197004
0.02226563,0.6230053
0.02265625,0.6249682
0.02304688,0.6168218
0.0234375,0.6140579
0.02382812,0.6185213
0.02421875,0.6095577
0.02460938,0.6129222
0.025,0.6193396
0.02539063,0.6118969
0.02578125,0.6112722
0.02617188,0.6040527
0.0265625,0.6046665
0.02695313,0.6122082
0.02734375,0.605047
0.02773437,0.6093639
0.028125,0.5967064
0.02851563,0.6010081
0.02890625,0.6076381
0.02929688,0.5945929
0.0296875,0.6051516
0.03007813,0.6015447
0.03046875,0.6070864
0.03085938,0.5936412
0.03125,0.6040025
0.03164063,0.6007241
0.03203125,0.6035044
0.03242188,0.6033284
0.0328125,0.6094335
0.03320313,0.612531
0.03359375,0.6063133
0.03398437,0.6117392
0.034375,0.6235549
0.03476563,0.6290557
0.03515625,0.6279711
0.03554688,0.6213345
0.0359375,0.6463811
0.03632813,0.6329195
0.03671875,0.6490681
0.03710938,0.6621457
0.0375,0.6372988
0.03789062,0.6387936
0.03828125,0.647754
0.03867188,0.6465065
0.0390625,0.6626509
0.03945313,0.643989
0.03984375,0.6302805
0.04023438,0.6321096
0.040625,0.6365761
0.04101563,0.6308167
0.04140625,0.6400591
0.04179687,0.6224273
0.0421875,0.6398851
0.04257813,0.6374774
0.04296875,0.6330671
0.04335938,0.6352255
0.04375,0.6336104
0.04414063,0.6357406
0.04453125,0.6445597
0.04492188,0.6352246
0.0453125,0.6305367
0.04570312,0.6315095
0.04609375,0.6282334
0.04648438,0.6369032
0.046875,0.6425743
0.04726563,0.6415008
0.04765625,0.6363724
0.04804688,0.6373482
0.0484375,0.6419587
0.04882813,0.6479226
0.04921875,0.6540619
0.04960937,0.6269805
0.05,0.6354713
0.05039063,0.632744
0.05078125,0.6247804
0.05117188,0.6256576
0.0515625,0.6383384
0.05195313,0.6386458
0.05234375,0.631178
0.05273438,0.6429431
0.053125,0.6420715
0.05351562,0.6562101
0.05390625,0.6527075
0.05429688,0.6356536
0.0546875,0.6406864
0.05507813,0.6442792
0.05546875,0.6462121
0.05585938,0.6562789
0.05625,0.6400565
0.05664063,0.6485222
0.05703125,0.655279
0.05742187,0.6363018
0.0578125,0.6641097
0.05820313,0.6335789
0.05859375,0.6550979
0.05898438,0.641022
0.059375,0.6464818
0.05976563,0.6309475
0.06015625,0.6390311
0.06054688,0.6414655
0.0609375,0.6437353
0.06132812,0.6272668
0.06171875,0.6357601
0.06210938,0.6401859
0.0625,0.6237928
0.06289063,0.6436281
0.06328125,0.6199368
0.06367188,0.6301914
0.0640625,0.6314878
0.06445313,0.617129
0.06484375,0.6269836
0.06523438,0.6249204
0.065625,0.6278794
0.06601562,0.6136288
0.06640625,0.6163439
0.06679688,0.6314182
0.0671875,0.6474075
0.06757813,0.6146672
0.06796875,0.6260952
0.06835938,0.6290055
0.06875,0.6185268
0.06914063,0.626509
0.06953125,0.61616
0.06992187,0.6290058
0.0703125,0.6256024
0.07070313,0.6064466
0.07109375,0.6092027
0.07148438,0.6131693
0.071875,0.622407
0.07226563,0.6177448
0.07265625,0.6149745
0.07304688,0.6021976
0.0734375,0.604212
0.07382812,0.6002769
0.07421875,0.5859881
0.07460938,0.5873471
0.075,0.5770328
0.07539063,0.5791465
0.07578125,0.5769683
0.07617188,0.5654096
0.0765625,0.5770069
0.07695313,0.5821009
0.07734375,0.590168
0.07773437,0.5755316
0.078125,0.613929
0.07851563,0.5968621
0.07890625,0.6072748
0.07929688,0.5987184
0.0796875,0.6203588
0.08007813,0.6188394
0.08046875,0.6227199
0.08085938,0.6178308
0.08125,0.6091862
0.08164062,0.6231218
0.08203125,0.6207844
0.08242188,0.6299761
0.0828125,0.63869
0.08320313,0.6272022
0.08359375,0.628289
0.08398438,0.6368569
0.084375,0.628933
0.08476563,0.6437133
0.08515625,0.6362156
0.08554687,0.649035
0.0859375,0.6441674
0.08632813,0.6636941
0.08671875,0.6512865
0.08710938,0.6529541
0.0875,0.6632605
0.08789063,0.6576204
0.08828125,0.6572227
0.08867188,0.6549367
0.0890625,0.640424
0.08945312,0.669342
0.08984375,0.6579745
0.09023438,0.6546139
0.090625,0.6671377
0.09101563,0.6633962
0.09140625,0.6286679
0.09179688,0.6380569
0.0921875,0.6264712
0.09257813,0.6257252
0.09296875,0.6222095
0.09335937,0.6088262
0.09375,0.6167985
0.09414063,0.6110855
0.09453125,0.6128592
0.09492188,0.6087692
0.0953125,0.5955909
0.09570313,0.5996342
0.09609375,0.6075948
0.09648438,0.6160752
0.096875,0.6047938
0.09726562,0.6106296
0.09765625,0.6010064
0.09804688,0.6010678
0.0984375,0.5848108
0.09882813,0.6137009
0.09921875,0.5995395
0.09960938,0.609454
0.1,0.5953862
0.1003906,0.6095667
0.1007813,0.6195937
0.1011719,0.6291207
0.1015625,0.6182805
0.1019531,0.6333369
0.1023438,0.6494415
0.1027344,0.6463867
0.103125,0.6558295
0.1035156,0.6105232
0.1039063,0.6296851
0.1042969,0.6418203
0.1046875,0.6302727
0.1050781,0.6656262
0.1054688,0.6228948
0.1058594,0.6355827
0.10625,0.6239623
0.1066406,0.6206726
0.1070312,0.5990102
0.1074219,0.6010118
0.1078125,0.6116704
0.1082031,0.5790705
0.1085938,0.586517
0.1089844,0.5852527
0.109375,0.565134
0.1097656,0.5545959
0.1101563,0.5642588
0.1105469,0.5604334
0.1109375,0.5590963
0.1113281,0.5753163
0.1117188,0.5856906
0.1121094,0.5873278
0.1125,0.5523209
0.1128906,0.6007702
0.1132813,0.6034893
0.1136719,0.5857451
0.1140625,0.5793064
0.1144531,0.5942714
0.1148437,0.5996947
0.1152344,0.600274
0.115625,0.6010616
0.1160156,0.6199159
0.1164063,0.6187242
0.1167969,0.6314037
0.1171875,0.6272933
0.1175781,0.6417838
0.1179688,0.6442696
0.1183594,0.6375899
0.11875,0.6541694
0.1191406,0.6356789
0.1195313,0.6557078
0.1199219,0.6128429
0.1203125,0.6462808
0.1207031,0.6516657
0.1210938,0.6286888
0.1214844,0.6672016
0.121875,0.648463
