time,value
0,0.5939189
0.000390625,0.6482142
0.00078125,0.5567762
0.001171875,0.5106159
0.0015625,0.6028936
0.001953125,0.4319164
0.00234375,0.6095814
0.002734375,0.4505399
0.003125,0.3846243
0.003515625,0.4082556
0.00390625,0.3809007
0.004296875,0.4754156
0.0046875,0.4304896
0.005078125,0.3406912
0.00546875,0.2751915
0.005859375,0.4697783
0.00625,0.3863835
0.006640625,0.2750881
0.00703125,0.4853359
0.007421875,0.2647226
0.0078125,0.2767453
0.008203126,0.2733722
0.00859375,0.2907356
0.008984375,0.4413801
0.009375,0.3581183
0.009765625,0.2650355
0.01015625,0.3342593
0.01054688,0.2508328
0.0109375,0.2608315
0.01132813,0.3068614
0.01171875,0.4376589
0.01210938,0.3267983
0.0125,0.2542348
0.01289062,0.3779743
0.01328125,0.3145002
0.01367188,0.3131549
0.0140625,0.2729518
0.01445313,0.2193945
0.01484375,0.3790073
0.01523438,0.3364962
0.015625,0.2570974
0.01601562,0.3935453
0.01640625,0.2924397
0.01679688,0.2695749
0.0171875,0.3041244
0.01757813,0.2554167
0.01796875,0.383344
0.01835938,0.3023848
0.01875,0.3915032
0.01914063,0.3541239
0.01953125,0.2713032
0.01992187,0.4919533
0.0203125,0.5408051
0.02070313,0.2916549
0.02109375,0.2428108
0.02148438,0.3584978
0.021875,0.4014916
0.02226563,0.2932289
0.02265625,0.3829398
0.02304688,0.4454705
0.0234375,0.3577943
0.02382812,0.3647141
0.02421875,0.4100328
0.02460938,0.3045063
0.025,0.284965
0.02539063,0.3224354
0.02578125,0.2553276
0.02617188,0.4034034
0.0265625,0.4240017
0.02695313,0.3575037
0.02734375,0.2799013
0.02773437,0.2570503
0.028125,0.4058122
0.02851563,0.3035063
0.02890625,0.3104163
0.02929688,0.2435395
0.0296875,0.324153
0.03007813,0.3628622
0.03046875,0.2564999
0.03085938,0.2972234
0.03125,0.1874811
0.03164063,0.2568711
0.03203125,0.3938146
0.03242188,0.5190117
0.0328125,0.2862696
0.03320313,0.2291437
0.03359375,0.3016296
0.03398437,0.2379529
0.034375,0.3290411
0.03476563,0.3080772
0.03515625,0.2983656
0.03554688,0.1635541
0.0359375,0.3599589
0.03632813,0.2831509
0.03671875,0.3215222
0.03710938,0.2642522
0.0375,0.2379837
0.03789062,0.3139786
0.03828125,0.3773906
0.03867188,0.306558
0.0390625,0.198732
0.03945313,0.2978336
0.03984375,0.2685673
0.04023438,0.2086155
0.040625,0.3004711
0.04101563,0.3537259
0.04140625,0.189699
0.04179687,0.3774588
0.0421875,0.2285537
0.04257813,0.2837231
0.04296875,0.2284797
0.04335938,0.2226567
0.04375,0.2865402
0.04414063,0.271721
0.04453125,0.4473528
0.04492188,0.3713041
0.0453125,0.2628283
0.04570312,0.2809614
0.04609375,0.2262418
0.04648438,0.3735788
0.046875,0.2989646
0.04726563,0.3202182
0.04765625,0.2625464
0.04804688,0.3403416
