time,value
0,-0.05269146
0.0001953125,0.8690876
0.000390625,-1.765894
0.0005859375,0.4936928
0.00078125,0.9558015
0.0009765625,0.2336891
0.001171875,-0.4309126
0.001367187,0.5396159
0.0015625,0.7088864
0.001757813,0.4495042
0.001953125,0.5688201
0.002148438,0.4021999
0.00234375,0.8411459
0.002539063,0.8703921
0.002734375,0.9194633
0.002929688,0.5208799
0.003125,0.9450399
0.003320313,-0.8017294
0.003515625,0.9944137
0.003710937,0.08084142
0.00390625,0.04712349
0.004101563,0.4393464
0.004296875,0.2129419
0.004492187,-0.6977491
0.0046875,0.9671952
0.004882813,0.9084205
0.005078125,0.7032509
0.005273438,-0.1896578
0.00546875,-1.242101
0.005664063,0.4328039
0.005859375,-0.6642454
0.006054688,0.7338212
0.00625,-0.3556081
0.006445312,0.6011487
0.006640625,0.405445
0.006835938,-0.1364086
0.00703125,0.3681418
0.007226563,0.3992789
0.007421875,0.8529332
0.007617188,0.6784861
0.0078125,-0.3246007
0.008007812,0.836848
0.008203126,0.1893858
0.008398438,-0.2737238
0.00859375,0.1388934
0.008789063,0.3891684
0.008984375,-0.4829496
0.009179688,-0.4493666
0.009375,0.3536803
0.009570313,-0.02935827
0.009765625,0.7555146
0.009960937,0.6723553
0.01015625,0.6156168
0.01035156,0.8652397
0.01054688,0.9104673
0.01074219,0.375819
0.0109375,0.8631303
0.01113281,-0.8587816
0.01132813,-0.1322036
0.01152344,0.2230061
0.01171875,0.3346417
0.01191406,-0.6851941
0.01210938,0.2588959
0.01230469,0.9229776
0.0125,0.7271688
0.01269531,0.9666594
0.01289062,0.4962133
0.01308594,0.9236168
0.01328125,0.09271359
0.01347656,0.5974958
0.01367188,0.07769883
0.01386719,-0.7728854
0.0140625,0.5458893
0.01425781,0.9990096
0.01445313,0.7846648
0.01464844,0.3164982
0.01484375,0.7346722
0.01503906,0.9246541
0.01523438,0.5490597
0.01542969,-0.2960367
0.015625,0.7552897
0.01582031,0.8908367
0.01601562,0.2305351
0.01621094,0.8638314
0.01640625,0.2438167
0.01660156,0.8076552
0.01679688,0.3968876
0.01699219,0.947255
0.0171875,0.8471939
0.01738281,0.8815652
0.01757813,-0.4466771
0.01777344,0.0529393
0.01796875,0.9029084
0.01816406,0.4620978
0.01835938,0.7577064
0.01855469,-0.5382079
0.01875,-0.4821209
0.01894531,-1.451486
0.01914063,-1.539745
0.01933594,0.9379861
0.01953125,0.6930782
0.01972656,0.9208714
0.01992187,-0.6596715
0.02011719,0.05473059
0.0203125,-0.09337032
0.02050781,0.6339079
0.02070313,0.6978657
0.02089844,-0.2955621
