time,value
0,0.4917215
0.0001953125,0.7027789
0.000390625,0.7464693
0.0005859375,0.03394711
0.00078125,0.9023193
0.0009765625,0.2833089
0.001171875,-0.6869215
0.001367187,-0.777305
0.0015625,0.611106
0.001757813,0.9400492
0.001953125,0.3809863
0.002148438,-0.1479456
0.00234375,0.9914314
0.002539063,0.103375
0.002734375,0.3844223
0.002929688,0.3060206
0.003125,0.6224979
0.003320313,0.2815791
0.003515625,0.2693027
0.003710937,0.8657638
0.00390625,0.1182554
0.004101563,-1.018567
0.004296875,0.7746305
0.004492187,-0.5584157
0.0046875,0.999615
0.004882813,0.5355072
0.005078125,0.7679845
0.005273438,0.8796526
0.00546875,0.7218523
0.005664063,0.3457163
0.005859375,-0.7439041
0.006054688,0.8243947
0.00625,0.8096417
0.006445312,-1.161496
0.006640625,0.3068289
0.006835938,-0.3131274
0.00703125,0.1987937
0.007226563,-1.147341
0.007421875,-0.3040788
0.007617188,-0.2778876
0.0078125,-1.531141
0.008007812,-0.1907097
0.008203126,0.9241991
0.008398438,-0.6874454
0.00859375,0.9561244
0.008789063,-0.201085
0.008984375,-0.6997304
0.009179688,-0.7020283
0.009375,-0.5562916
0.009570313,0.5655746
0.009765625,-0.513714
0.009960937,-0.7024126
0.01015625,0.2005805
0.01035156,-0.4120058
0.01054688,0.655569
0.01074219,0.3540006
0.0109375,0.7913653
0.01113281,0.5456886
0.01132813,0.1285647
0.01152344,-0.1186801
0.01171875,-0.4821607
0.01191406,-0.6517483
0.01210938,0.3100341
0.01230469,-0.4952826
0.0125,0.8753885
0.01269531,0.3451669
0.01289062,-0.2304863
0.01308594,0.9872638
0.01328125,0.9220697
0.01347656,-0.0855211
0.01367188,0.6396401
0.01386719,-0.2937967
0.0140625,0.2161722
0.01425781,0.2946774
0.01445313,0.6202662
0.01464844,-0.2346832
0.01484375,0.4228928
0.01503906,-1.036495
0.01523438,0.8616419
0.01542969,0.6057266
0.015625,0.4333576
0.01582031,0.003812611
0.01601562,-1.515455
0.01621094,0.5078351
0.01640625,-0.07187438
0.01660156,0.9989276
0.01679688,0.8945993
0.01699219,-0.9448797
0.0171875,-0.06874692
0.01738281,0.7952146
0.01757813,0.5757515
0.01777344,-0.6969708
0.01796875,0.9749487
0.01816406,-0.4034386
0.01835938,0.7224168
0.01855469,0.2681534
0.01875,0.8690631
0.01894531,0.7924943
0.01914063,-0.7378728
0.01933594,0.6047019
0.01953125,0.9656507
0.01972656,-0.7216606
0.01992187,0.437449
0.02011719,0.852218
0.0203125,0.1459312
0.02050781,0.01132369
0.02070313,0.7377447
0.02089844,0.7454619
0.02109375,-0.3288404
0.02128906,0.4854552
0.02148438,0.957966
0.02167969,0.6540648
0.021875,0.173153
0.02207031,-0.1731213
0.02226563,-1.195045
0.02246094,-1.52838
0.02265625,0.4167362
0.02285156,0.7730583
0.02304688,0.8623263
0.02324219,0.7461009
0.0234375,0.3200256
0.02363281,0.9079667
0.02382812,-1.289165
0.02402344,-1.16674
0.02421875,0.97629
0.02441406,0.9332976
0.02460938,0.1619692
0.02480469,-0.04120338
0.025,0.6661126
0.02519531,-0.9383883
0.02539063,0.340663
0.02558594,-0.3974235
0.02578125,0.7486165
0.02597656,0.214708
0.02617188,0.5189143
0.02636719,0.6303611
0.0265625,0.6507213
0.02675781,-0.4160218
0.02695313,0.9801531
0.02714844,0.7275035
0.02734375,0.9302176
0.02753906,-1.413975
0.02773437,0.9198563
0.02792969,0.8642668
0.028125,0.8581673
0.02832031,-0.5873212
0.02851563,-0.02474976
0.02871094,0.1938553
0.02890625,0.4761668
0.02910156,0.6017108
0.02929688,0.3089449
0.02949219,-0.38455
0.0296875,-0.9882578
0.02988281,0.567876
0.03007813,0.06529611
0.03027344,0.1869226
0.03046875,0.49168
0.03066406,0.8882437
0.03085938,-0.785746
0.03105469,0.9858334
0.03125,0.8715714
0.03144531,0.8162303
0.03164063,0.8646526
0.03183594,0.9629734
0.03203125,0.6239945
0.03222656,0.669988
0.03242188,0.3477992
0.03261719,-0.1951725
0.0328125,-0.4298909
0.03300781,0.5705762
0.03320313,0.4218575
0.03339844,-0.08762002
0.03359375,0.2440171
0.03378906,-0.4147602
0.03398437,0.9338279
0.03417969,-0.5906043
0.034375,-1.511544
0.03457031,-0.2417431
0.03476563,0.5811254
0.03496094,-0.6823934
0.03515625,0.3710399
0.03535156,0.2942459
0.03554688,0.9517353
0.03574219,0.8116779
0.0359375,0.740234
0.03613281,0.6726725
0.03632813,-0.2814968
0.03652344,0.9909334
0.03671875,0.6318481
0.03691406,0.4840627
0.03710938,-0.08346224
0.03730469,0.1113843
0.0375,0.886947
0.03769531,0.8093373
0.03789062,0.595282
0.03808594,0.3980537
0.03828125,-0.4670182
0.03847656,0.8479141
0.03867188,0.4676755
0.03886719,0.6109159
0.0390625,0.7878531
0.03925781,0.2796379
0.03945313,-0.8058274
0.03964844,0.5546004
0.03984375,0.02960575
0.04003906,0.9674355
0.04023438,0.6830937
0.04042969,-0.8031981
0.040625,0.2528029
0.04082031,-0.3659103
0.04101563,0.9298827
0.04121094,-0.04860175
0.04140625,0.8222433
0.04160156,-0.1727071
0.04179687,0.2793729
0.04199219,0.9542145
0.0421875,-0.7765156
0.04238281,0.649972
0.04257813,0.0796659
0.04277344,0.8953596
0.04296875,-0.6568656
0.04316406,0.4211596
0.04335938,0.3941776
0.04355469,0.338232
0.04375,0.5279121
0.04394531,0.8803906
0.04414063,0.1068435
0.04433594,0.1040567
0.04453125,0.2437363
0.04472656,0.6355601
0.04492188,-0.2994366
0.04511719,0.5181673
0.0453125,0.939359
0.04550781,0.6669927
0.04570312,0.8843148
0.04589844,0.7820624
0.04609375,-0.5909117
0.04628906,-1.120896
0.04648438,0.04675281
0.04667969,0.7902184
0.046875,-0.8098245
0.04707031,0.4505365
0.04726563,0.8922536
0.04746094,0.3402931
0.04765625,0.6046027
0.04785156,0.01724392
0.04804688,-0.1195948
0.04824219,0.7970794
0.0484375,0.9947865
0.04863281,0.7705334
0.04882813,0.1049447
0.04902344,0.1705795
0.04921875,0.8771344
0.04941406,0.7139955
0.04960937,-1.144086
0.04980469,0.7875241
0.05,-0.08774388
0.05019531,0.161171
0.05039063,0.4309356
0.05058594,0.112043
0.05078125,-1.60602
0.05097656,-0.4973545
0.05117188,0.8623905
0.05136719,0.6022748
0.0515625,-0.9623682
0.05175781,0.2452059
0.05195313,0.7598085
0.05214844,0.5209747
0.05234375,-0.1091974
0.05253906,0.6842418
0.05273438,0.2267807
0.05292969,0.9790117
0.053125,0.9942294
0.05332031,0.08041018
0.05351562,0.2184092
0.05371094,0.9027236
0.05390625,0.9588706
0.05410156,0.7658765
0.05429688,-0.02191091
0.05449219,-1.32761
0.0546875,0.8091861
0.05488281,-0.3190904
0.05507813,-0.07194293
0.05527344,0.6422479
0.05546875,-0.6518106
0.05566406,0.5083749
0.05585938,0.2646763
0.05605469,0.2810111
0.05625,-0.3268696
0.05644531,-1.218047
0.05664063,0.003980219
0.05683594,0.854985
0.05703125,-0.490343
0.05722656,0.6091368
0.05742187,0.1106314
0.05761719,0.212505
0.0578125,0.4092059
0.05800781,0.8453079
0.05820313,-0.00109911
0.05839844,0.1068979
0.05859375,0.5772185
0.05878906,0.9688314
0.05898438,0.3599006
0.05917969,-0.2274354
0.059375,0.2626886
0.05957031,-0.1855941
0.05976563,0.17382
0.05996094,-0.9968526
0.06015625,0.7671814
0.06035156,-0.7798544
0.06054688,0.7282465
0.06074219,0.9939976
0.0609375,0.6427926
0.06113281,-0.4258159
0.06132812,0.9849864
0.06152344,0.6582114
0.06171875,0.9809022
0.06191406,0.918231
0.06210938,-0.05054069
0.06230469,0.2917109
0.0625,-0.07493937
0.06269532,-0.6870714
0.06289063,-0.275996
0.06308594,0.9009095
0.06328125,0.6378096
0.06347656,-0.219968
0.06367188,0.5209503
0.06386719,0.3506441
0.0640625,-0.7440192
0.06425782,0.9780374
0.06445313,0.7768426
0.06464844,-0.264204
0.06484375,0.6276304
0.06503906,-0.3463361
0.06523438,-0.643926
0.06542969,0.5304593
0.065625,0.3811861
0.06582031,0.7223171
0.06601562,0.7476938
0.06621094,-0.8260145
0.06640625,0.8303428
0.06660157,0.1549004
0.06679688,-0.8475335
0.06699219,0.7746512
0.0671875,0.66549
0.06738281,0.9052948
0.06757813,-0.5600802
0.06777344,0.4018077
0.06796875,0.6585013
0.06816407,-0.9642586
0.06835938,-0.5532193
0.06855469,0.749063
0.06875,0.3178548
0.06894531,0.2708154
0.06914063,0.9810717
0.06933594,0.8199562
0.06953125,0.2204366
0.06972656,0.7856239
0.06992187,0.5490187
0.07011719,0.12366
0.0703125,-0.6404146
0.07050782,0.4413953
0.07070313,-0.8643448
0.07089844,-0.9799368
0.07109375,0.07056034
0.07128906,0.7850081
0.07148438,-0.06626105
0.07167969,0.9059368
0.071875,0.04507321
0.07207032,-0.2771411
0.07226563,-0.5895793
0.07246094,0.2990978
0.07265625,0.5406142
0.07285156,-0.1286917
0.07304688,0.2917616
0.07324219,0.8119454
0.0734375,-0.7488372
0.07363281,0.938466
0.07382812,0.9798791
0.07402344,-0.1236724
0.07421875,-0.6065474
0.07441407,-0.1148909
0.07460938,-0.2111546
0.07480469,0.122344
0.075,0.6438815
0.07519531,0.316477
0.07539063,0.2658244
0.07558594,-0.3665631
0.07578125,0.2946204
0.07597657,0.05335295
0.07617188,0.8678162
0.07636719,0.1311114
0.0765625,0.5766548
0.07675781,0.5458336
0.07695313,0.103148
0.07714844,-0.4124806
0.07734375,0.0338102
0.07753906,0.1082095
0.07773437,-1.148446
0.07792969,0.6808808
0.078125,-0.4256035
0.07832032,0.7220918
0.07851563,0.7772325
0.07871094,0.08232486
0.07890625,0.09155732
0.07910156,-0.731627
0.07929688,0.1245745
0.07949219,0.5006462
0.0796875,-0.0117327
0.07988282,-0.1318399
0.08007813,0.7982873
0.08027344,0.5861529
0.08046875,-0.6472799
0.08066406,0.8566132
0.08085938,0.532267
0.08105469,-0.4969418
0.08125,-1.203549
0.08144531,0.5351644
0.08164062,-0.03801584
0.08183594,0.9253676
0.08203125,0.3469168
0.08222657,-1.922554
0.08242188,-1.219803
0.08261719,-0.01515782
0.0828125,0.8790544
0.08300781,0.1573781
0.08320313,0.3196458
0.08339844,0.5704584
0.08359375,0.4975441
0.08378907,0.7807622
0.08398438,0.4044766
0.08417969,0.505008
0.084375,-0.4006062
0.08457031,0.7548087
0.08476563,0.9474169
0.08496094,-0.2535478
0.08515625,-0.1683482
0.08535156,-0.5038065
0.08554687,0.3264572
0.08574219,-0.2064538
0.0859375,-0.5043961
0.08613282,-0.7058821
0.08632813,0.8131121
0.08652344,-0.354964
0.08671875,0.04208159
0.08691406,0.9906909
0.08710938,0.9976463
0.08730469,0.3439711
0.0875,0.7581426
0.08769532,0.7634785
0.08789063,0.9845092
0.08808594,0.7175279
0.08828125,0.8314894
0.08847656,0.4247823
0.08867188,0.9717633
0.08886719,0.7414423
0.0890625,0.6844345
0.08925781,0.8332369
0.08945312,-0.5228751
0.08964844,-1.415011
0.08984375,0.6526183
0.09003907,0.9256012
0.09023438,0.4101202
0.09042969,0.965427
0.090625,-0.7134285
0.09082031,0.1052667
0.09101563,0.9681918
0.09121094,0.9643162
0.09140625,0.2526739
0.09160157,-0.6694032
0.09179688,-0.830881
0.09199219,0.006271005
0.0921875,0.9490335
0.09238281,0.7609333
0.09257813,0.903565
0.09277344,0.7580149
0.09296875,0.3652135
0.09316406,0.6167892
0.09335937,-1.124784
0.09355469,-0.7006533
0.09375,0.8633866
0.09394532,-0.8892043
0.09414063,-0.1979117
0.09433594,-0.0008237362
0.09453125,0.1468953
0.09472656,0.6508672
0.09492188,-0.01828897
0.09511719,-0.06352699
0.0953125,-0.1439966
0.09550782,0.7555688
0.09570313,-0.2886951
0.09589844,0.1288059
0.09609375,0.2242302
0.09628906,0.7417264
0.09648438,0.5726166
0.09667969,-0.2824371
0.096875,0.721943
0.09707031,-0.1393133
0.09726562,0.9220769
0.09746094,0.7986462
0.09765625,-0.0470283
0.09785157,0.8110796
0.09804688,0.8614655
0.09824219,0.567116
0.0984375,0.7528741
0.09863281,-0.3909948
0.09882813,0.8604003
0.09902344,0.3348984
0.09921875,0.2072983
0.09941407,0.7183
0.09960938,-0.592846
0.09980469,0.3389121
0.1,0.537805
0.1001953,0.411177
0.1003906,0.96253
0.1005859,0.9301008
0.1007813,-0.8758588
0.1009766,0.5047098
0.1011719,0.7233132
0.1013672,0.8440208
0.1015625,0.2061144
0.1017578,0.961983
0.1019531,0.9793096
0.1021484,-0.4696661
0.1023438,0.2863697
0.1025391,0.1822681
0.1027344,0.1091558
0.1029297,0.7047756
0.103125,-0.08830297
0.1033203,0.8948181
0.1035156,-1.237372
0.1037109,0.8122919
0.1039063,0.7500601
0.1041016,0.8723103
0.1042969,0.5114655
0.1044922,0.9085609
0.1046875,-0.4868686
0.1048828,0.5488999
0.1050781,0.254669
0.1052734,0.4159258
0.1054688,-1.774382
0.1056641,0.903715
0.1058594,0.7442632
0.1060547,0.4604096
0.10625,0.9762766
0.1064453,0.9845523
0.1066406,-0.4291536
0.1068359,-0.1532468
0.1070312,0.6919816
0.1072266,0.5926338
0.1074219,-0.561409
0.1076172,0.7514454
0.1078125,0.837343
0.1080078,0.8314135
0.1082031,0.8013127
0.1083984,0.2267612
0.1085938,0.2559169
0.1087891,0.791691
0.1089844,0.963971
0.1091797,-0.2714883
0.109375,0.9662135
0.1095703,-1.120665
0.1097656,-0.03020012
0.1099609,0.3141965
0.1101563,0.8071672
0.1103516,0.9417411
0.1105469,0.6580909
0.1107422,-1.029867
0.1109375,0.9055176
0.1111328,0.9155365
0.1113281,0.8622757
0.1115234,0.8433049
0.1117188,0.5267506
0.1119141,0.06568879
0.1121094,0.5145992
0.1123047,0.007939041
0.1125,0.7437561
0.1126953,0.876296
0.1128906,0.6200248
0.1130859,0.7494326
0.1132813,-0.8530071
0.1134766,0.838477
0.1136719,-1.361407
0.1138672,0.7333614
0.1140625,0.4955042
0.1142578,0.3671481
0.1144531,0.4057692
0.1146484,0.2255286
0.1148437,0.9041278
0.1150391,0.2576051
0.1152344,0.9108874
0.1154297,0.601513
0.115625,-0.7020755
0.1158203,0.7594416
0.1160156,0.09084105
0.1162109,0.6022023
0.1164063,0.0920465
0.1166016,-0.1630942
0.1167969,0.8274453
0.1169922,0.6338431
0.1171875,0.7134112
0.1173828,0.5558364
0.1175781,-0.5657674
0.1177734,0.5041184
0.1179688,0.9615346
0.1181641,0.9370363
0.1183594,0.8241803
0.1185547,-0.1742368
0.11875,0.6495672
0.1189453,-0.08900833
0.1191406,0.7268413
0.1193359,0.6017859
0.1195313,-0.025635
0.1197266,0.988194
0.1199219,0.09742284
0.1201172,0.9734368
0.1203125,0.1398476
0.1205078,0.2401775
0.1207031,0.818314
0.1208984,0.7730407
0.1210938,0.6377388
0.1212891,-0.4789075
0.1214844,-0.01564467
0.1216797,0.8639194
0.121875,0.599514
0.1220703,0.8049037
0.1222656,-1.160286
0.1224609,0.7820844
0.1226562,0.6953686
0.1228516,0.6688929
0.1230469,0.9555632
0.1232422,0.2819117
0.1234375,0.9778584
0.1236328,-0.72177
0.1238281,0.7357851
0.1240234,-0.0603044
0.1242188,0.8102657
0.1244141,0.9868595
0.1246094,0.6820319
0.1248047,0.9379746
0.125,0.6717588
0.1251953,0.8338644
0.1253906,0.505953
0.1255859,0.9240454
0.1257813,0.9364423
0.1259766,0.6522927
0.1261719,0.2898188
0.1263672,0.6105552
0.1265625,0.966653
0.1267578,0.6278304
0.1269531,0.9770525
0.1271484,0.5754889
0.1273438,0.7931492
0.1275391,0.9917599
0.1277344,-1.223207
0.1279297,0.244862
0.128125,0.5135559
0.1283203,0.5123626
0.1285156,0.2981334
0.1287109,0.4575448
0.1289063,0.9989609
0.1291016,-0.2045754
0.1292969,0.5973779
0.1294922,-0.4363394
0.1296875,0.5932868
0.1298828,0.9833523
0.1300781,0.2694056
0.1302734,0.6863067
0.1304688,0.08334649
0.1306641,0.9955745
0.1308594,0.9577514
0.1310547,-0.1778849
0.13125,0.9167735
0.1314453,0.2233425
0.1316406,0.8294117
0.1318359,-0.5781536
0.1320312,0.8315032
0.1322266,-0.3242458
0.1324219,0.475345
0.1326172,0.887856
0.1328125,0.6505783
0.1330078,0.4449291
0.1332031,0.1502792
0.1333984,-0.4079467
0.1335938,0.8042995
0.1337891,0.7745074
0.1339844,0.1440932
0.1341797,-0.01354492
0.134375,0.1117484
0.1345703,0.07939768
0.1347656,0.8925095
0.1349609,0.9006811
0.1351563,-0.3400024
0.1353516,0.2753441
0.1355469,-0.251272
0.1357422,0.498724
0.1359375,0.7009587
0.1361328,0.1093149
0.1363281,0.4339386
0.1365234,0.9849654
0.1367188,0.871102
0.1369141,0.9882836
0.1371094,0.4738344
0.1373047,0.9046971
0.1375,0.8988891
0.1376953,0.9660228
0.1378906,-0.3948447
0.1380859,-0.4381111
0.1382813,0.6778384
0.1384766,0.4508184
0.1386719,0.9507775
0.1388672,0.536792
0.1390625,0.971278
0.1392578,0.7299045
0.1394531,0.07105452
0.1396484,0.9988828
0.1398437,0.9641472
0.1400391,0.6182137
0.1402344,-0.5852453
0.1404297,0.7507148
0.140625,-0.4407123
0.1408203,0.2855093
0.1410156,0.05133492
0.1412109,0.1812578
0.1414063,0.4475541
0.1416016,0.8299055
0.1417969,0.6135006
0.1419922,0.1798342
0.1421875,0.7646195
0.1423828,0.6696202
0.1425781,-0.3848009
0.1427734,0.1427082
0.1429688,-0.01101923
0.1431641,0.9658652
0.1433594,0.510594
0.1435547,0.9178161
0.14375,0.8129742
0.1439453,0.516054
0.1441406,0.9357271
0.1443359,0.8912997
0.1445313,0.8494737
0.1447266,0.8529874
0.1449219,0.4753872
0.1451172,0.9949609
0.1453125,0.8659816
0.1455078,-1.823965
0.1457031,0.3932496
0.1458984,-0.3644726
0.1460938,0.8162792
0.1462891,0.3574379
0.1464844,0.1659043
0.1466797,-0.3149048
0.146875,0.2727302
0.1470703,0.4800555
0.1472656,0.7314221
0.1474609,0.0006558895
0.1476562,0.5488068
0.1478516,0.6669791
0.1480469,0.6188574
0.1482422,-0.4521732
0.1484375,-0.07880068
0.1486328,0.1954941
0.1488281,0.3057767
0.1490234,0.9277651
0.1492188,-0.2677681
0.1494141,0.2240583
0.1496094,-0.09903479
0.1498047,0.9112364
0.15,0.4694604
0.1501953,0.450298
0.1503906,-0.7926378
0.1505859,-1.106613
0.1507813,0.4744217
0.1509766,0.8117359
0.1511719,0.8153877
0.1513672,0.4261445
0.1515625,0.3307179
0.1517578,0.6018031
0.1519531,0.9912328
0.1521484,0.9403576
0.1523438,0.5290436
0.1525391,-0.7956426
0.1527344,-0.8409423
0.1529297,0.4439606
0.153125,0.4374313
0.1533203,0.6254806
0.1535156,0.1894531
0.1537109,-0.5570693
0.1539063,0.7846599
0.1541016,0.9389626
0.1542969,0.8213962
0.1544922,0.9884099
0.1546875,-0.7187434
0.1548828,0.9594237
0.1550781,0.6138526
0.1552734,0.6199437
0.1554687,0.1113866
0.1556641,-0.9415232
0.1558594,0.1564669
0.1560547,0.3217945
0.15625,0.5382733
0.1564453,0.05041885
0.1566406,-1.11406
0.1568359,0.8271444
0.1570313,0.8001727
0.1572266,0.5589124
0.1574219,0.8531545
0.1576172,0.9346076
0.1578125,0.8274652
0.1580078,-0.5230806
0.1582031,-0.3308674
0.1583984,0.5558528
0.1585938,0.9508172
0.1587891,0.7756568
0.1589844,0.3914907
0.1591797,0.5597991
0.159375,0.7388412
0.1595703,0.6693964
0.1597656,0.0939706
0.1599609,-0.8316356
0.1601563,0.4587995
0.1603516,0.3272871
0.1605469,-0.6745378
0.1607422,0.516021
0.1609375,-0.01582456
0.1611328,0.511606
0.1613281,0.3864079
0.1615234,0.3224138
0.1617188,0.8652825
0.1619141,0.7236031
0.1621094,0.004664779
0.1623047,0.9482802
0.1625,0.4088209
0.1626953,0.8185867
0.1628906,0.238507
0.1630859,0.6304852
0.1632812,0.7590629
0.1634766,0.9866043
0.1636719,0.4752035
0.1638672,0.5950528
0.1640625,-0.1938608
0.1642578,0.7735443
0.1644531,0.9284611
0.1646484,0.004648387
0.1648438,0.9272708
0.1650391,0.7456965
0.1652344,-0.1270608
0.1654297,-0.2099456
0.165625,0.2561225
0.1658203,0.3143932
0.1660156,0.2550343
0.1662109,0.9674101
0.1664063,0.7388215
0.1666016,0.4639882
0.1667969,0.9722619
0.1669922,0.8381072
0.1671875,0.13804
0.1673828,0.5048071
0.1675781,0.9633614
0.1677734,0.6734551
0.1679688,-0.0316627
0.1681641,0.1921242
0.1683594,0.937277
0.1685547,0.6327183
0.16875,0.7638763
0.1689453,0.8808122
0.1691406,0.9983094
0.1693359,0.4762031
0.1695313,0.06058717
0.1697266,-0.7069112
0.1699219,0.06988645
0.1701172,0.5941174
0.1703125,0.6741893
0.1705078,0.906929
0.1707031,0.8136575
0.1708984,0.2790893
0.1710937,0.9028593
0.1712891,0.6810308
0.1714844,0.9939612
0.1716797,0.5659689
0.171875,0.8522591
0.1720703,0.9658562
0.1722656,-0.09261143
0.1724609,0.9969794
0.1726563,0.7424338
0.1728516,0.9352382
0.1730469,0.8539186
0.1732422,0.4806303
0.1734375,0.9476514
0.1736328,0.77529
0.1738281,0.4064428
0.1740234,0.3826287
0.1742188,0.3565102
0.1744141,-0.04708529
0.1746094,0.942574
0.1748047,0.8653648
0.175,0.4737297
0.1751953,0.9883721
0.1753906,0.8847579
0.1755859,0.6008705
0.1757813,0.4997063
0.1759766,-1.153007
0.1761719,0.5416551
0.1763672,0.9013265
0.1765625,-0.09118605
0.1767578,0.1766675
0.1769531,0.9616123
0.1771484,-0.1161751
0.1773438,-0.4205319
0.1775391,0.8748794
0.1777344,0.2572677
0.1779297,0.6391112
0.178125,0.6653954
0.1783203,0.9811934
0.1785156,0.9783373
0.1787109,0.9196775
0.1789062,0.3709215
0.1791016,-0.9969102
0.1792969,0.665824
0.1794922,0.9978195
0.1796875,0.9269555
0.1798828,0.8722239
0.1800781,0.05213743
0.1802734,0.2791049
0.1804688,0.9150961
0.1806641,0.4392104
0.1808594,0.8812817
0.1810547,0.8532887
0.18125,0.4937092
0.1814453,0.9917867
0.1816406,0.7370355
0.1818359,0.67651
0.1820313,0.7887192
0.1822266,0.3119794
0.1824219,0.625403
0.1826172,0.4289656
0.1828125,0.4236361
0.1830078,0.8452809
0.1832031,0.8942622
0.1833984,0.8964712
0.1835938,0.4985116
0.1837891,-0.6233954
0.1839844,-0.253242
0.1841797,0.4956846
0.184375,0.6348326
0.1845703,0.9068106
0.1847656,0.9421884
0.1849609,0.8293875
0.1851563,0.9545653
0.1853516,0.7154782
0.1855469,0.9790946
0.1857422,0.872022
0.1859375,0.8204823
0.1861328,-0.194226
0.1863281,0.719349
0.1865234,0.02054113
0.1867187,-0.2679228
0.1869141,0.8964213
0.1871094,0.6944262
0.1873047,0.592213
0.1875,0.4187854
0.1876953,0.6115816
0.1878906,-1.587667
0.1880859,0.8577427
0.1882813,0.8506449
0.1884766,0.2361491
0.1886719,0.3512014
0.1888672,0.887563
0.1890625,0.6682357
0.1892578,0.7234821
0.1894531,-0.4885494
0.1896484,-0.5086772
0.1898438,-0.2219942
0.1900391,-0.02728152
0.1902344,-0.5230004
0.1904297,0.8924002
0.190625,0.5965852
0.1908203,-0.2112061
0.1910156,0.879168
0.1912109,0.9747357
0.1914063,0.1339071
0.1916016,0.7719183
0.1917969,0.147651
0.1919922,0.7933359
0.1921875,0.7601179
0.1923828,0.8648751
0.1925781,0.9907781
0.1927734,-0.5793027
0.1929688,0.6318322
0.1931641,0.5471283
0.1933594,0.99049
0.1935547,-0.03113258
0.19375,-0.3159157
0.1939453,0.3823137
0.1941406,0.956357
0.1943359,0.9910563
0.1945312,0.2197791
0.1947266,0.7924981
0.1949219,0.9454833
0.1951172,0.5989888
0.1953125,0.9047693
0.1955078,0.8123464
0.1957031,0.7289569
0.1958984,0.9197509
0.1960938,-0.5300719
0.1962891,0.3024245
